region,year,sum_anomaly,sum_trend,relative,relative_since_2005,n_iso_mapped,n_iso_in_fao,source
Argentina,2000,2184.54481,13807.01159,0.15821996,0.0,1,1,FAO
Argentina,2001,1469.04654,14126.26476,0.10399398,0.0,1,1,FAO
Argentina,2002,-1125.08993,14228.93823,-0.07907055,0.0,1,1,FAO
Argentina,2003,-23.08019,14195.31049,-0.0016259,0.0,1,1,FAO
Argentina,2004,1728.9069,14077.5648,0.12281292,0.0,1,1,FAO
Argentina,2005,-374.3715,13891.5074,-0.02694967,-0.02694967,1,1,FAO
Argentina,2006,539.08312,13672.24618,0.03942901,0.03942901,1,1,FAO
Argentina,2007,2613.13041,13449.42479,0.1942931,0.1942931,1,1,FAO
Argentina,2008,-2909.29174,13274.00504,-0.21917211,-0.21917211,1,1,FAO
Argentina,2009,-4223.15423,13203.04373,-0.31986217,-0.31986217,1,1,FAO
Argentina,2010,1036.28331,13415.61519,0.07724456,0.07724456,1,1,FAO
Argentina,2011,1271.10088,13734.18862,0.09255013,0.09255013,1,1,FAO
Australia,2000,1495.69852,21170.17172,0.07065122,0.0,1,1,FAO
Australia,2001,2083.91286,21753.24427,0.0957978,0.0,1,1,FAO
Australia,2002,-8931.58197,22048.18421,-0.40509377,0.0,1,1,FAO
Australia,2003,496.08191,22264.77677,0.02228102,0.0,1,1,FAO
Australia,2004,314.30501,22481.0203,0.01398091,0.0,1,1,FAO
Australia,2005,1792.88528,22691.36075,0.0790118,0.0790118,1,1,FAO
Australia,2006,-9035.23155,22880.59201,-0.39488627,-0.39488627,1,1,FAO
Australia,2007,-10033.65216,23023.77851,-0.4357952,-0.4357952,1,1,FAO
Australia,2008,-3378.09333,23143.83045,-0.14596086,-0.14596086,1,1,FAO
Australia,2009,-1650.15463,23256.21759,-0.07095542,-0.07095542,1,1,FAO
Australia,2010,2869.42608,23328.0471,0.12300327,0.12300327,1,1,FAO
Australia,2011,6033.63149,23345.42286,0.2584503,0.2584503,1,1,FAO
Canada,2000,1385.33669,25151.19403,0.05508035,0.0,1,1,FAO
Canada,2001,-4365.50628,24995.91888,-0.17464876,0.0,1,1,FAO
Canada,2002,-9020.09345,24981.41267,-0.36107219,0.0,1,1,FAO
Canada,2003,-1931.06756,24980.52854,-0.07730291,0.0,1,1,FAO
Canada,2004,-188.54979,24985.0457,-0.00754651,0.0,1,1,FAO
Canada,2005,724.51045,25024.00451,0.02895262,0.02895262,1,1,FAO
Canada,2006,128.85454,25136.65076,0.00512616,0.00512616,1,1,FAO
Canada,2007,-5242.36283,25332.76463,-0.20694002,-0.20694002,1,1,FAO
Canada,2008,2975.11947,25644.45289,0.11601415,0.11601415,1,1,FAO
Canada,2009,873.4814,26077.0576,0.03349616,0.03349616,1,1,FAO
Canada,2010,-3284.20766,26584.67366,-0.12353763,-0.12353763,1,1,FAO
Canada,2011,-1899.57601,27188.08178,-0.06986797,-0.06986797,1,1,FAO
Central America,2000,136.64138,3367.32411,0.04057862,0.0,38,3,FAO
Central America,2001,-53.18358,3339.15127,-0.01592727,0.0,38,3,FAO
Central America,2002,-102.27903,3348.24707,-0.03054704,0.0,38,3,FAO
Central America,2003,-642.9296,3367.9028,-0.1908991,0.0,38,3,FAO
Central America,2004,-1056.80922,3388.78645,-0.31185477,0.0,38,3,FAO
Central America,2005,-379.58306,3406.55339,-0.1114273,-0.1114273,38,3,FAO
Central America,2006,-42.88174,3423.84808,-0.01252443,-0.01252443,38,3,FAO
Central America,2007,72.92816,3445.03681,0.02116905,0.02116905,38,3,FAO
Central America,2008,550.82538,3471.13455,0.15868742,0.15868742,38,3,FAO
Central America,2009,617.26479,3501.69417,0.17627604,0.17627604,38,3,FAO
Central America,2010,145.51936,3533.44395,0.04118344,0.04118344,38,3,FAO
Central America,2011,91.52912,3538.43468,0.02586712,0.02586712,38,3,FAO
China,2000,-4081.21735,103725.18823,-0.03934644,0.0,4,2,FAO
China,2001,-9961.85888,103842.36872,-0.09593251,0.0,4,2,FAO
China,2002,-14109.58773,104406.81093,-0.13514049,0.0,4,2,FAO
China,2003,-18418.17633,104913.09537,-0.1755565,0.0,4,2,FAO
China,2004,-13473.31282,105432.66898,-0.12779068,0.0,4,2,FAO
China,2005,-8719.40144,106172.19704,-0.08212509,-0.08212509,4,2,FAO
China,2006,1211.03992,107263.63738,0.01129031,0.01129031,4,2,FAO
China,2007,565.33834,108741.4055,0.00519892,0.00519892,4,2,FAO
China,2008,1683.57498,110789.42214,0.01519617,0.01519617,4,2,FAO
China,2009,1787.44742,113336.76178,0.01577112,0.01577112,4,2,FAO
China,2010,-882.07435,116077.28867,-0.00759903,-0.00759903,4,2,FAO
China,2011,-1187.85835,118611.25103,-0.01001472,-0.01001472,4,2,FAO
EU-28,2000,4647.74898,128808.77559,0.03608255,0.0,30,28,FAO
EU-28,2001,-2883.8754,130432.54805,-0.02211009,0.0,30,28,FAO
EU-28,2002,2992.6754,131623.74681,0.02273659,0.0,30,28,FAO
EU-28,2003,-20374.89781,132650.05685,-0.15359886,0.0,30,28,FAO
EU-28,2004,16695.16601,133548.9187,0.12501162,0.0,30,28,FAO
EU-28,2005,1579.93324,134446.44242,0.01175139,0.01175139,30,28,FAO
EU-28,2006,-7933.0905,135471.76083,-0.058559,-0.058559,30,28,FAO
EU-28,2007,-15596.46853,136696.39044,-0.11409569,-0.11409569,30,28,FAO
EU-28,2008,13070.98636,138125.13947,0.09463148,0.09463148,30,28,FAO
EU-28,2009,-219.86211,139697.27766,-0.00157385,-0.00157385,30,28,FAO
EU-28,2010,-3744.59302,141316.06854,-0.026498,-0.026498,30,28,FAO
EU-28,2011,-4083.70594,142973.16863,-0.02856274,-0.02856274,30,28,FAO
Eastern Africa,2000,-336.17832,2161.51773,-0.15552883,0.0,22,13,FAO
Eastern Africa,2001,20.83524,2262.58225,0.00920861,0.0,22,13,FAO
Eastern Africa,2002,-230.11355,2386.62779,-0.09641786,0.0,22,13,FAO
Eastern Africa,2003,-139.66653,2519.94861,-0.05542436,0.0,22,13,FAO
Eastern Africa,2004,-207.21039,2665.69193,-0.07773231,0.0,22,13,FAO
Eastern Africa,2005,244.68935,2829.78692,0.08646918,0.08646918,22,13,FAO
Eastern Africa,2006,68.14784,3012.29413,0.02262324,0.02262324,22,13,FAO
Eastern Africa,2007,18.20401,3208.8168,0.00567312,0.00567312,22,13,FAO
Eastern Africa,2008,-442.02529,3414.73167,-0.12944657,-0.12944657,22,13,FAO
Eastern Africa,2009,79.71239,3622.83081,0.02200279,0.02200279,22,13,FAO
Eastern Africa,2010,-27.03728,3829.3221,-0.00706059,-0.00706059,22,13,FAO
Eastern Africa,2011,-296.00417,4035.97804,-0.07334137,-0.07334137,22,13,FAO
Egypt,2000,147.30537,6417.02283,0.02295541,0.0,1,1,FAO
Egypt,2001,-377.8569,6633.16965,-0.05696476,0.0,1,1,FAO
Egypt,2002,-212.96567,6838.29692,-0.03114309,0.0,1,1,FAO
Egypt,2003,-189.21752,7034.55977,-0.02689827,0.0,1,1,FAO
Egypt,2004,-47.52334,7225.88224,-0.00657682,0.0,1,1,FAO
Egypt,2005,722.76114,7418.64591,0.09742494,0.09742494,1,1,FAO
Egypt,2006,661.44703,7612.96667,0.08688427,0.08688427,1,1,FAO
Egypt,2007,-429.61453,7808.98348,-0.05501542,-0.05501542,1,1,FAO
Egypt,2008,-25.08925,8002.4881,-0.00313518,-0.00313518,1,1,FAO
Egypt,2009,340.179,8183.24715,0.04157017,0.04157017,1,1,FAO
Egypt,2010,-1163.72612,8341.08497,-0.13951736,-0.13951736,1,1,FAO
Egypt,2011,-30.62151,8438.0419,-0.00362898,-0.00362898,1,1,FAO
India,2000,7854.09442,68514.14189,0.11463465,0.0,1,1,FAO
India,2001,-7.03786,69687.34105,-0.00010099,0.0,1,1,FAO
India,2002,2004.20901,70761.06333,0.02832361,0.0,1,1,FAO
India,2003,-6111.89387,71872.23626,-0.08503832,0.0,1,1,FAO
India,2004,-901.69802,73056.97646,-0.01234239,0.0,1,1,FAO
India,2005,-5735.08062,74371.39425,-0.07711407,-0.07711407,1,1,FAO
India,2006,-6493.25607,75846.56253,-0.08561042,-0.08561042,1,1,FAO
India,2007,-1678.92326,77485.16519,-0.02166767,-0.02166767,1,1,FAO
India,2008,-700.001,79269.2153,-0.00883068,-0.00883068,1,1,FAO
India,2009,-505.26893,81183.46214,-0.00622379,-0.00622379,1,1,FAO
