crop,params_elast,rebuild_lambda,eta_market_demand_mean,eta_market_demand_crisis,eta_consumption_mean,damping_factor,check_dem0_match
wheat,-0.15,0.08,-0.05217532796248687,-0.04851860113837048,-0.14988811444973665,0.34783551974991245,0.0
maize,-0.25,0.08,-0.10643571583887143,-0.09445816234412807,-0.22430362439474497,0.4257428633554857,0.0
rice,-0.2,0.08,-0.08521803596002497,-0.07832137907663646,-0.19980112532939598,0.42609017980012487,0.0
