crop,eta_baseline,eta_isoelastic_only_A_D0,eta_full_budget_A_D005,share_of_gain_from_elasticity,share_of_gain_from_budget_wall
wheat,-0.0521753279624868,-0.3381320597131512,-0.3756436408397698,88.40332124252006,11.596678757479939
maize,-0.1064357158388714,-0.4499830069651586,-0.4768848165449008,92.73805509894052,7.26194490105948
rice,-0.0852180359600249,-0.3621320680293298,-0.4017884661045616,87.47311994454888,12.526880055451125
