crop,window,food_need_mmt,rebuild_mmt,rebuild_share,mean_p_hat
wheat,full_window,124.69269816713572,776.3512673192092,0.8616130811110511,1.5956948205603092
wheat,crisis_0708,16.416285822994887,152.46025562826196,0.9027912007083995,1.8826340709912417
wheat,calm_2009,4.405184696202971,107.54003703247074,0.9606487474125515,1.439639619942012
wheat,peak_step_59,0.3646323306501583,3.865476459448704,0.9138007203257682,2.4623341993382803
maize,full_window,16.675907847921867,464.2322692346115,0.9653241332907094,1.5306541544230856
maize,crisis_0708,0.48638634373261946,93.0522614521841,0.9948001563504123,1.4098858136403825
maize,calm_2009,0.26082602597230536,63.769013054028136,0.9959264925584707,1.3419575150842125
maize,peak_step_22,0.0,13.314387941026695,1.0,0.7050794512320054
rice,full_window,107.22693036956183,582.8594790846865,0.8446181102822156,1.8810100760140611
rice,crisis_0708,15.237250552471785,114.57209794308909,0.882618234132861,1.7770478164732824
rice,calm_2009,5.189176149458612,81.90470314965063,0.940418589788184,2.1773070599315747
rice,peak_step_65,0.16575871229900224,0.26116213492892737,0.6117343217711151,2.5939260198395426
