variant,crop,corr,hike0708,hike1011,d_corr,d_h07,d_h10,eta_market_demand,rebuild_share,recon_err
baseline,wheat,0.7198612368258547,2.2673764846341906,1.4472676909253321,-0.0001387631741452955,-0.0026235153658094035,-0.002732309074667816,-0.05217532796248687,0.8616130811110512,0.0
baseline,maize,0.7115343015231028,1.9716551959162116,1.698938753871961,-0.0004656984768971473,0.0016551959162116603,-0.0010612461280390395,-0.10643571583887143,0.9653241332907093,0.0
baseline,rice,0.6777409747204022,1.7218949303223503,0.8204584882401206,-0.0002590252795978687,0.00189493032235033,0.0004584882401206247,-0.08521803596002497,0.8446181102822156,0.0
P1_consumer_budget,wheat,0.71642228353109,2.1989810162722057,1.4563851125839558,-0.0035777164689099195,-0.07101898372779436,0.006385112583955799,-0.06630950857645174,0.8647989713483522,0.0
P1_consumer_budget,maize,0.7085059069907719,1.9435322179027017,1.6610151892388798,-0.003494093009228094,-0.026467782097298276,-0.03898481076112015,-0.12659025879313063,0.9660052930962075,0.0
P1_consumer_budget,rice,0.6913803496049988,1.7090390441158556,0.8638495152482197,0.013380349604998787,-0.010960955884144363,0.043849515248219784,-0.10788137581731372,0.8456062539774548,0.0
P2_purchaser_budget,wheat,0.7078188743670939,2.2148520482491656,1.483800614853755,-0.012181125632906076,-0.05514795175083442,0.03380061485375507,-0.37564364083976987,0.8308730110953287,0.0
P2_purchaser_budget,maize,0.7293860399756003,1.9634279562084023,1.6591107038637702,0.017386039975600287,-0.006572043791597704,-0.040889296136229714,-0.47688481654490084,0.9655756957767946,0.0
P2_purchaser_budget,rice,0.6908655935102122,1.719481400406219,0.8625631617187589,0.012865593510212103,-0.0005185995937808663,0.04256316171875896,-0.4017884661045616,0.8207332082066197,0.0
P3_source_reweight,wheat,0.7276078137259876,2.2836110438142887,1.4529876249647522,0.007607813725987622,0.013611043814288681,0.0029876249647522446,-0.0521900690630324,0.8638040837432552,0.0
P3_source_reweight,maize,0.7119882483280751,1.969205558821797,1.6608120883930593,-1.175167192490889e-05,-0.0007944411782030425,-0.039187911606940684,-0.1065082652281433,0.9659826527887354,0.0
P3_source_reweight,rice,0.6783563866631985,1.721259593314591,0.8205200939912837,0.00035638666319848245,0.0012595933145911342,0.000520093991283721,-0.08521453229249094,0.8449873598752142,0.0
P1P2,wheat,0.7040790434284996,2.1553396732158596,1.4735465357893667,-0.01592095657150039,-0.1146603267841404,0.023546535789366718,-0.39067855589811473,0.8372831247057305,0.0
P1P2,maize,0.7297232849964376,1.9399568023301605,1.6196396822301937,0.017723284996437605,-0.030043197669839428,-0.08036031776980623,-0.4558913189573808,0.9666869721285316,0.0
P1P2,rice,0.6936355836990489,1.705340026541818,0.853860983852162,0.015635583699048827,-0.01465997345818204,0.033860983852162074,-0.42626559660761293,0.8226781135884781,0.0
P2P3,wheat,0.7160558463701978,2.225430408208076,1.491298915167546,-0.003944153629802161,-0.04456959179192399,0.041298915167546024,-0.3772121626203411,0.834114224146916,0.0
P2P3,maize,0.7228487442482927,1.9500959057619889,1.6247202628478579,0.010848744248292741,-0.019904094238011094,-0.07527973715214209,-0.466198833316881,0.9661643509717193,0.0
P2P3,rice,0.6913290630357616,1.7187742016145469,0.8624843620132848,0.013329063035761535,-0.001225798385453114,0.04248436201328487,-0.4021216755394177,0.8209989450313743,0.0
