crop,T,steps_offers_cover_demand,steps_offers_cover_but_unmet,mean_unmet_frac_when_covered,mean_unmet_frac_all,mmt_offers_unshipped,mmt_demand_unmet
wheat,144,132,132,0.32226761055958236,0.3593029931232822,10366.161861106222,377.66147829325126
maize,144,144,120,0.1206266213722231,0.1206266213722231,17467.96010090164,81.27906783211725
rice,144,73,73,0.464892062140554,0.6713920803716403,1642.8050327812002,565.1309199420272
