crop,step,tag,episode,p_official,resid_at_60,resid_at_1200,root_sign_changes,L_max_global,monotone_decreasing,G_min,G_max,any_calm,any_clipped
wheat,30,2007-04a,2007/08,308.3274867350158,256.3875076011724,-897.4456004912801,1,0.10240256164349841,True,302.55439950871994,316.3875076011724,False,False
wheat,53,2008-03b,2007/08,429.54366015435187,373.71694604020894,-771.9426641014625,1,0.043047707249567725,True,428.05733589853753,433.71694604020894,False,False
wheat,78,2009-04a,calm,290.3454935800687,231.1103324116208,-910.0938115678247,1,0.010877520972320564,True,289.9061884321753,291.1103324116208,False,False
wheat,123,2011-02b,2010/11,447.4676724960239,386.06065616107696,-752.8283261441345,1,0.021763256852861197,False,445.1736358810125,447.513528824181,False,False
maize,22,2006-12a,2007/08,393.94603899432104,340.099304883404,-829.5388932601785,1,0.2268782869440829,True,370.4611067398215,400.099304883404,False,False
maize,78,2009-04a,calm,183.91343584983406,124.79323812153112,-1016.8955833756918,1,0.015674626456585388,False,183.1044166243082,184.79323812153112,False,False
maize,123,2011-02b,2010/11,315.4537727388246,252.9654741415767,-884.565172183339,1,0.13103282369028896,False,311.5044538606278,315.68511869010604,False,False
rice,24,2007-01a,2007/08,346.04232267950727,362.6719806723096,-885.5699319928605,1,0.8566674236073831,True,314.43006800713954,422.6719806723096,False,False
rice,47,2007-12b,2007/08,697.9892058676521,648.3927846996678,-503.0359117979958,1,0.16182525999688568,True,696.9640882020042,708.3927846996678,False,False
rice,78,2009-04a,calm,653.4342212125888,595.9932223775044,-546.9335245920903,1,0.02938467135286945,True,653.0664754079097,655.9932223775044,False,False
rice,113,2010-09b,2010/11,896.9207658082366,842.6895862440512,-303.62027812947804,1,0.04510760846256408,True,896.379721870522,902.6895862440512,False,False
