crop,step,tag,episode,p_official,lo,hi,L_max_n401,maxjump_n401,L_max_n3201,maxjump_n3201,L_max_n25601,maxjump_n25601
wheat,19,2006-10b,2007/08,219.11708876032571,186.24952544627686,251.98465207437457,0.03933710879218318,0.006464574569093884,0.03936127203738255,0.0008085681880061202,0.0393653937374541,0.00010108160711297387
wheat,20,2006-11a,2007/08,238.2476618000314,202.5105125300267,273.9848110700361,0.046888991629076386,0.008378394464841676,0.046924658565856064,0.001048095954757855,0.04692843412929082,0.00013102253558372468
wheat,21,2006-11b,2007/08,256.53272283913464,218.05281441326443,295.0126312650048,0.05131079615560544,0.009872173686630958,0.051347722605843006,0.0012349097898436412,0.0513548623571449,0.00015438518755672703
wheat,22,2006-12a,2007/08,252.1972304570637,214.36764588850414,290.02681502562325,0.032057259360401325,0.006063564020053036,0.032074016272379914,0.0007583416943930388,0.03207611234759343,9.479890661623358e-05
wheat,24,2007-01a,2007/08,258.6189946715564,219.82614547082292,297.4118438722898,0.034652249394081146,0.006721297426054207,0.03466996542153248,0.0008405917127447537,0.03467218140118114,0.00010508068004355664
wheat,29,2007-03b,2007/08,274.5267328516132,233.3477229238712,315.70574277935515,0.038764153483566245,0.007981347305701547,0.0387827567927302,0.0009981472043705253,0.038785083743699204,0.00012477588660431138
wheat,30,2007-04a,2007/08,308.3274867350158,262.0783637247634,354.5766097452681,0.017183357403456227,0.00397357605140769,0.017191324046235773,0.0004969272878270203,0.01719232051349303,6.211951142631733e-05
wheat,53,2008-03b,2007/08,429.54366015435187,365.1121111311991,493.9752091775046,0.004622743233032573,0.0014892525362029119,0.0046249897699759054,0.00018624703443492763,0.004625270773522195,2.3282293796000886e-05
wheat,78,2009-04a,calm,290.3454935800687,246.7936695430584,333.897317617079,0.001466663711914047,0.00031937939951376393,0.0014674458302418338,3.9943714114087925e-05,0.0014675436756594064,4.993297181954404e-06
wheat,123,2011-02b,2010/11,447.4676724960239,380.34752162162033,514.5878233704275,0.0007693794750536053,0.00025820433222634165,0.0007696847062500441,3.228834600577102e-05,0.0007697228881362177,4.03624346745346e-06
maize,22,2006-12a,2007/08,393.94603899432104,334.85413314517285,453.0379448434692,0.02735830665522941,0.008083272405315256,0.02737147314612472,0.0010108953213148197,0.027373120021751858,0.00012636951805689023
maize,42,2007-10a,2007/08,178.24909448584236,151.511730312966,204.9864586587187,0.0010032295201240515,0.0001341185651426713,0.0010037260455255388,1.677311800563075e-05,0.0010037881568083454,2.09676949225468e-06
maize,78,2009-04a,calm,183.91343584983406,156.32642047235893,211.50045122730916,0.004291085111284787,0.0005918911547553307,0.004293335419353597,7.402519389643203e-05,0.004293616905277743,9.253755905547223e-06
maize,107,2010-06b,2010/11,290.2868439785482,246.74381738176595,333.8298705753304,0.06722850651914714,0.014636663237126868,0.06740854870849404,0.0018344826432894479,0.06742314517112344,0.0002293599846439065
maize,108,2010-07a,2010/11,296.97106189110787,252.42540260744167,341.51672117477403,0.02967117906801181,0.006608611166541323,0.029794136415243856,0.0008294996558788625,0.029803064456297813,0.00010371852772550483
maize,109,2010-07b,2010/11,299.03120556741897,254.17652473230612,343.8858864025318,0.01660913540100168,0.0037249873367954933,0.016634682064763744,0.00046633959675546066,0.016637880503920573,5.8303657795022445e-05
maize,123,2011-02b,2010/11,315.4537727388246,268.13570682800093,362.7718386496483,0.009966390876448782,0.0023579517019243212,0.00996873248472208,0.0002948132129745318,0.009969024605525434,3.685273151177171e-05
maize,131,2011-06b,calm,324.05493448694375,275.4466943139022,372.66317465998526,0.009361987013199164,0.002275348566172397,0.009370638146810856,0.00028468139350934507,0.009371720752252982,3.5589285403148097e-05
maize,137,2011-09b,calm,266.7493602591172,226.73695622024962,306.76176429798477,0.0005848104002695631,0.00011699835010858806,0.00058509962596102,1.4632026648087049e-05,0.0005851357967174065,1.8291163996764226e-06
rice,21,2006-11b,2007/08,307.38286905358996,261.27543869555143,353.4902994116284,0.04743842083333519,0.010936318424342062,0.04747142678522973,0.0013679909403094825,0.04747555608372536,0.00017101374186268004
rice,24,2007-01a,2007/08,346.04232267950727,294.13597427758117,397.9486710814333,0.139667242573577,0.03624808276680369,0.1397292449824725,0.004533021794998149,0.1397370001611116,0.0005666591730459913
rice,25,2007-01b,2007/08,375.16077101515225,318.8866553628794,431.4348866674251,0.12657823856653877,0.03561539218077314,0.12663448451609485,0.004453902267016474,0.12664151965847426,0.0005567687127836507
rice,26,2007-02a,2007/08,398.3955869954214,338.6362489461082,458.15492504473457,0.12568012813618182,0.03755280631685309,0.12573596539823928,0.004696186288242643,0.125742949466161,0.0005870558925380465
rice,27,2007-02b,2007/08,412.3598538182147,350.50587574548246,474.21383189094684,0.12380522816410183,0.038289229340762176,0.12386001960399406,0.004788271835423075,0.12386687284471024,0.0005985670966310863
rice,28,2007-03a,2007/08,420.23284849082177,357.1979212171985,483.267775764445,0.11236632467927479,0.03541501552081172,0.11248731074287502,0.0044316434074289646,0.11250245312899206,0.0005540299961808159
rice,47,2007-12b,2007/08,697.9892058676521,593.2908249875043,802.6875867477999,0.003584729367365562,0.0018765768032835695,0.003586717272730189,0.00023470218195598136,0.0035869659360692474,2.9339806701500493e-05
rice,51,2008-02b,2007/08,573.5934309519245,487.5544163091358,659.6324455947131,0.0010817154173434445,0.00046534864316072344,0.0010826380235530002,5.8218192975800775e-05,0.001082753453744643,7.278050020431692e-06
