crop,step,tag,episode,in_first_model_year,p_prev,p_official,root_sign_changes,L_max_global,max_positive_slope,monotone_decreasing,resid_at_60,resid_at_1200,fp,fp_residual,fp_slope,fp_minus_official,fp_pct_of_official,picard_iters,picard_fp,picard_minus_bisect,n_jumps_found,max_jump_G,p_at_max_jump,jump_cause,root_to_nearest_jump,root_inside_jump,picard_bad_all_converged,picard_bad_max_iters,picard_bad_max_spread,free_official,free_negative,twin,max_cut
wheat,0,2006-01a,calm,True,213.5463324652778,211.44496765129992,1,0.05582881393363841,-0.0010703659393329575,True,154.90354306742722,-991.404630836435,211.46567786786025,0.0,-0.010018162075883871,0.020710216560331673,0.009794613128123957,6,211.46567786786238,2.1316282072803006e-12,0,0.0,,,,False,True,7,3.495870259939693e-12,39.65054798651889,False,40.07949776159205,0.0
wheat,1,2006-01b,calm,True,211.44496765129992,209.1136780638826,1,0.08156500495400475,-0.0010385882074172988,True,154.00390571243946,-993.7510445053128,209.14779767341645,0.0,-0.014959174563698562,0.034119609533860285,0.016316297360250635,6,209.14779767344203,2.5579538487363607e-11,0,0.0,,,,False,True,7,5.363176569517236e-11,38.80328878722267,False,40.35530884816691,0.0
wheat,2,2006-02a,calm,True,209.1136780638826,205.35844627860143,1,0.07946528264202067,-0.001066877131937619,True,150.3704861757593,-997.7832439923857,205.42236450941337,0.0,-0.017525812183353126,0.06391823081193593,0.031125201797261685,6,205.42236450951907,1.057003373716725e-10,0,0.0,,,,False,True,7,1.411137873219559e-10,30.999655383989705,False,32.287719930445746,0.0
wheat,3,2006-02b,calm,True,205.35844627860143,201.99283273576924,1,0.11058068647595373,-0.0008574653412452473,True,148.42395893241405,-1000.7758702019474,202.05708808897987,0.0,-0.01967850605324561,0.06425535321062625,0.03181070948922229,6,202.0570880891695,1.8962964531965554e-10,0,0.0,,,,False,True,8,1.7911361283040605e-10,27.44627062687681,False,28.74177524762115,0.0
wheat,4,2006-03a,calm,True,201.99283273576924,198.8717430401989,1,0.1099607621695774,-0.0014481601445033526,True,145.02198391621118,-1005.6897451766952,198.93021601703788,0.0,-0.01929947023021761,0.05847297683897068,0.02940235548051251,6,198.93021601719445,1.5657519725209568e-10,0,0.0,,,,False,True,8,1.545288341731066e-10,22.594229402169162,False,25.12766883027612,0.0
wheat,5,2006-03b,calm,True,198.8717430401989,197.94332578790713,1,0.07712761557130729,-0.0016021121124946628,True,142.394987094215,-1005.9549292212063,197.95713250924837,0.0,-0.015140571535783083,0.013806721341239836,0.006975088089624957,6,197.95713250925934,1.0970779840135947e-11,0,0.0,,,,False,True,7,5.269384928396903e-11,26.178810243551908,False,29.33879128847036,0.0
wheat,6,2006-04a,calm,True,197.94332578790713,206.61132333807154,1,0.059388665096014315,-0.001597963651603832,True,150.2969751576806,-997.5686696702563,206.4951777593032,0.0,-0.013230301576704108,-0.11614557876833942,-0.056214527302694876,6,206.49517775925614,-4.7066350816749036e-11,0,0.0,,,,False,True,7,2.205524651799351e-11,40.171497550946455,False,38.6785205173492,0.0
wheat,7,2006-04b,calm,True,206.61132333807154,206.2434777035392,1,0.022404892998753156,-0.000538203095633803,True,147.7569437218884,-995.2084339464241,206.2453306494805,0.0,-0.0050685909199779345,0.0018529459412945926,0.0008984264433118582,5,206.24533064947929,-1.2221335055073723e-12,0,0.0,,,,False,True,6,5.030642569181509e-12,49.38705217369521,False,52.64707004880996,0.0
wheat,8,2006-05a,calm,True,206.2434777035392,199.1186100471,1,0.021593851693208814,-0.0005675568162419939,True,140.521702244605,-1002.315767037843,199.15301049366792,0.0,-0.004957286859655087,0.034400446567929066,0.01727635933165258,5,199.15301049364717,-2.0747847884194925e-11,0,0.0,,,,False,True,6,4.433786671143025e-12,67.67291431616788,False,70.58752481999328,0.0
wheat,9,2006-05b,calm,True,199.1186100471,194.6824303972993,1,0.014715924194266174,-0.00038913465679096983,True,135.62329178707964,-1006.3404952493177,194.6978499881448,0.0,-0.003535970632964977,0.015419590845510811,0.007920381317432288,5,194.6978499881424,-2.4158453015843406e-12,0,0.0,,,,False,True,6,6.252776074688882e-13,93.86192141937886,False,96.60643648760527,0.0
