crop,step,tag,episode,twin,free_at_60,free_at_1200,block_frac,crossing_exists,p_cross,G_below,G_above,calm_below,calm_above,p_trade_at_cross,jump_in_G,theoretical_jump,bracket_width
wheat,30,2007-04a,2007/08,52.18077704630193,30.868195119176484,37.64560851851188,0.0013553218460585568,False,,,,,,,,,
wheat,53,2008-03b,2007/08,49.47314613072561,53.381442054922644,62.21172402691736,0.136192381481743,False,,,,,,,,,
wheat,78,2009-04a,calm,58.66856696755792,97.491209812935,106.77292801167916,0.07836107235742545,False,,,,,,,,,
wheat,123,2011-02b,2010/11,53.94449746145297,87.33087974392107,95.84672839420423,0.23537900679369825,False,,,,,,,,,
maize,22,2006-12a,2007/08,207.09574192589048,-19.1357606911464,-0.14530453150564426,0.0,False,,,,,,,,,
maize,78,2009-04a,calm,226.2405926628166,170.9036371675943,190.22430696407278,0.0900974099772127,False,,,,,,,,,
maize,123,2011-02b,2010/11,207.40424881906165,138.94029948168458,158.0023511986383,0.09376030586892921,False,,,,,,,,,
rice,24,2007-01a,2007/08,-32.045560944585006,-38.817777760927186,-29.044125353406585,0.14083315145321929,True,390.01680337268317,337.17187571835206,337.17187571835166,False,False,312.5649058275749,3.979039320256561e-13,6.659308867561338,5.684341886080802e-14
rice,47,2007-12b,2007/08,-20.565398582372183,-11.886633188120243,-3.0265890492630545,0.3724633702685095,False,,,,,,,,,
rice,78,2009-04a,calm,-15.445907112363443,9.82785877561393,21.28275915540172,0.30075041024568666,False,,,,,,,,,
rice,113,2010-09b,2010/11,117.84740430903838,103.62571263661115,109.35648179510271,0.35718752991873665,False,,,,,,,,,
