crop,step,tag,episode,twin,free_at_60,free_at_1200,free_crosses_twin,block_frac_at_60,block_frac_at_1200,block_frac_zero,u_anom_at_60,u_anom_at_1200,u_anom_zero,calm_reachable,p_trade_at_60,hypothetical_jump
wheat,0,2006-01a,calm,40.07949776159205,34.056740320196326,45.735148896011566,True,0.0,0.0,True,0.001415466670895732,0.0,False,False,205.10367371959384,2.068451392692569
wheat,1,2006-01b,calm,40.35530884816691,33.25291507055874,44.92514872210373,True,0.0,0.0,True,0.026231026348636943,0.0,False,False,197.53848535489627,3.921922542043475
wheat,2,2006-02a,calm,32.287719930445746,25.53866781376223,37.12998682299201,True,0.0,0.0,True,0.014861421307375389,0.0,False,False,188.91213894499452,6.035377412469402
wheat,3,2006-02b,calm,28.74177524762115,22.254071621371338,33.36411615009183,True,0.0,0.0,True,0.04023441421237672,0.0,False,False,182.38385064697093,7.634808045485183
wheat,4,2006-03a,calm,25.12766883027612,17.382975999564593,28.714732349369427,True,0.0,0.0,True,0.01375886543790994,0.0,False,False,175.4841519323478,9.32523423056785
wheat,5,2006-03b,calm,29.33879128847036,22.185656317309437,31.223445875014846,True,0.0,0.0,True,0.013937622763285362,0.0,False,False,180.10978608958627,8.191953862044425
wheat,6,2006-04a,calm,38.6785205173492,36.23283364211464,44.823512739039955,True,0.0,0.0,True,0.20511157381844058,0.173156389023844,False,False,186.81546292846753,6.5490630365185165
wheat,7,2006-04b,calm,52.64707004880996,45.396677134270476,53.937842305798455,True,0.0,0.0,True,0.0,0.0,True,True,195.5148490569897,4.417713435030583
wheat,8,2006-05a,calm,70.58752481999328,63.634352498806564,72.29927976372294,True,0.0,0.0,True,0.0,0.0,True,True,170.67866856857253,10.50257765469279
wheat,9,2006-05b,calm,96.60643648760527,89.88099798568456,98.62847373236752,True,0.0,0.0,True,0.00028996441642425985,0.00024346989692636267,False,False,172.20765893491682,10.127975014938439
wheat,10,2006-06a,2007/08,129.22070558965726,121.06504453353304,132.54791922315385,True,0.0,0.0,True,0.01652828737683021,0.0,False,False,189.9587148447964,5.778966317017945
wheat,11,2006-06b,2007/08,149.83248290084254,141.70202161451934,153.19609823019354,True,0.0,0.0,True,0.00289874050782557,0.00011081787323730108,False,False,178.4470703886485,8.599319208774174
wheat,12,2006-07a,2007/08,219.79118989904828,206.6131788051122,218.11035791223077,False,0.0,0.0,True,0.010429733898293048,0.0,False,False,176.44316223330188,9.0902767068341
wheat,13,2006-07b,2007/08,287.06637805083335,268.84024280979077,280.33742191690936,False,0.0,0.0,True,0.011715975823117952,0.0028762710363735566,False,False,166.05916016663213,11.634357213168188
