crop,step,tag,episode,p_official,p_prev,grid_lo,grid_hi,L_max,L_mean,slope_min,slope_max,monotone_decreasing,monotone_any,n_slope_sign_flips,residual_sign_changes,G_lo,G_hi,resid_lo,resid_hi,fp,fp_residual,fp_minus_official,any_calm,all_calm,any_clipped,free_min,free_max,twin,twin_in_free_range,n_offer_pos_range,block_frac
wheat,0,2006-01a,calm,211.44496765129992,213.5463324652778,137.43922897334494,285.4507063292549,0.018380600844606836,0.010857623987757234,-0.018380600844606836,-0.006772506334173213,True,True,0,1,212.46619144551252,210.8591384785096,75.02696247216758,-74.59156785074529,211.46567786786022,5.684341886080802e-14,0.020710216560303252,False,False,False,37.82808258450382,40.786726374993634,40.07949776159205,True,0,0.0
wheat,4,2006-03a,calm,198.8717430401989,201.99283273576924,129.2666329761293,268.47685310426857,0.03555403405763242,0.020828460561203112,-0.03555403405763242,-0.012713696244967087,True,True,0,1,200.74559055964247,197.8460559799871,71.47895758351316,-70.63079712428146,198.93021601703788,0.0,0.05847297683897068,False,False,False,20.78731397585804,23.68452592913826,25.12766883027612,False,0,0.0
wheat,8,2006-05a,calm,199.1186100471,206.2434777035392,129.427096530615,268.810123563585,0.008395864393140736,0.005263270198499075,-0.008395864393140736,-0.003438162367661833,True,True,0,1,199.60038203387174,198.86677150151252,70.17328550325675,-69.9433520620725,199.15301049366792,0.0,0.034400446567929066,False,False,False,66.23604344222639,68.44627514787851,70.58752481999328,False,0,0.0
wheat,12,2006-07a,2007/08,193.08449136298356,194.27065476673766,125.50491938593932,260.66406334002784,0.0056007984607544855,0.003614344072152619,-0.0056007984607544855,-0.0024328030427888474,True,True,0,1,193.3828621454478,192.89435049470012,67.87794275950849,-67.76971284532772,193.08852686465684,0.0,0.004035501673286035,False,False,False,209.94174997386327,212.8943376087817,219.79118989904828,False,0,0.0
wheat,16,2006-09a,2007/08,185.02450057112765,186.1540606663034,120.26592537123297,249.78307577102234,0.013505951720123305,0.008112307516975375,-0.013505951720123305,-0.005374891700281817,True,True,0,1,185.67030736727764,184.6196244145122,65.40438199604468,-65.16345135651014,185.03305224742473,2.842170943040401e-14,0.008551676297088306,False,False,False,110.74613381455038,113.66321697173629,134.21879584628874,False,0,0.0
wheat,20,2006-11a,2007/08,238.2476618000314,219.11708876032571,154.8609801700204,321.6343434300424,0.052123806069111336,0.03826510368094201,-0.052123806069111336,-0.02697068552297556,True,True,0,1,240.88277512007153,234.50117508370738,86.02179495005112,-87.13316834633503,237.68149582230348,0.0,-0.566165977727934,False,False,False,31.102839993125087,33.99314678551889,53.20743321903092,False,1,0.0
wheat,24,2007-01a,2007/08,258.6189946715564,253.3161353998168,168.10234653651165,349.13564280660114,0.03960681481829541,0.02725047296692515,-0.03960681481829541,-0.018191847837855973,True,True,0,1,261.40944941587657,256.47620646975514,93.30710287936492,-92.659436336846,258.47733618588995,0.0,-0.1416584856664258,False,False,False,31.918674432845705,34.789209294717296,54.43373169317087,False,1,0.0
wheat,28,2007-03a,2007/08,266.64118116247414,268.68839409935094,173.3167677556082,359.9655945693401,0.02068661380110798,0.011190924412200778,-0.02068661380110798,-0.008398169124461882,True,True,0,1,267.88584166555813,265.7970687530597,94.56907390994994,-94.16852581628041,266.6606791415717,0.0,0.0194979790975367,False,False,False,40.735159661494905,43.3975329858077,41.99931120846223,True,5,0.0010175490768563038
wheat,30,2007-04a,2007/08,308.3274867350158,274.5267328516132,200.41286637776025,416.24210709227134,0.02366528502978243,0.014990778886969086,-0.02366528502978243,-0.009920128997529198,True,True,0,1,309.7781334133466,306.54268498845295,109.36526703558636,-109.69942210381839,307.82222041359864,0.0,-0.5052663214171389,False,False,False,33.965320463465304,35.587910520533576,52.18077704630193,False,0,0.001334495821047754
wheat,32,2007-05a,2007/08,319.2745540446062,310.0629500079504,207.52846012899403,431.0206479602184,0.016266616403165002,0.009996595611119045,-0.016266616403165002,-0.006406460716857991,True,True,0,1,320.55885615417696,318.32469513018395,113.03039602518294,-112.69595283003446,319.18738668678714,5.684341886080802e-14,-0.08716735781905527,False,False,False,46.0058684754457,47.64955518870406,77.54150110869185,False,0,0.08326673348147637
