crop,step,tag,episode,twin,p_cross,bracket_width,free_below,free_above,abs_free_minus_twin_below,abs_free_minus_twin_above,calm_fired_below,calm_fired_above,n_calm_in_1mUSD_neighbourhood,G_below,G_above,observed_jump,hypothetical_jump,calm_window_width_in_p
wheat,7,2006-04b,calm,52.64707004880996,693.812926223631,6.480149750132114e-11,52.64707004880994,52.64707004881018,2.1316282072803006e-14,2.2026824808563106e-13,True,True,1131,209.0385765325937,209.0385765325937,0.0,3.8668279485012884,0.0005364705882352941
wheat,8,2006-05a,calm,70.58752481999328,594.5412177648043,3.240074875066057e-11,70.58752481999315,70.58752481999328,1.2789769243681803e-13,0.0,True,True,937,208.7994768701477,208.7994768701477,0.0,10.604257932304119,0.0005066666666666667
maize,138,2011-10a,calm,479.4881612541857,149.44954526967797,8.100187187665142e-12,479.4881612541856,479.48816125418597,5.684341886080802e-14,2.8421709430404007e-13,True,True,85,220.7926317484098,220.7926317484098,0.0,36.765382808565946,4.7499999999999996e-05
maize,139,2011-10b,calm,589.6679923987105,344.2056886569779,3.240074875066057e-11,589.6679923987103,589.6679923987109,1.1368683772161603e-13,4.547473508864641e-13,True,True,241,214.77764796968026,214.77764796968026,0.0,34.17431287311322,0.000114
rice,1,2006-01b,calm,-36.79961999349915,341.0547187042303,3.240074875066057e-11,-36.79961999349918,-36.79961999349888,2.842170943040401e-14,2.7000623958883807e-13,True,True,433,341.2299825798279,341.2299825798279,0.0,0.8681391907791142,0.00021714285714285715
rice,2,2006-02a,calm,-36.78904394175095,345.05724082977764,3.240074875066057e-11,-36.78904394175119,-36.78904394175089,2.4158453015843406e-13,5.684341886080802e-14,True,True,429,340.9442929233558,340.9442929233558,0.0,0.7573795085776248,0.00021714285714285715
rice,3,2006-02b,calm,-36.380048742476205,349.30823604771234,3.240074875066057e-11,-36.38004874247629,-36.38004874247599,8.526512829121202e-14,2.1316282072803006e-13,True,True,429,340.90256711507885,340.90256711507885,0.0,0.7412027336764159,0.00021714285714285715
