crop,variant,alpha,drift_max,drift_level,drift_amp,pass_2pct,hold_back,corner_frac,clip_frac,q_cv,xstar_conv,secs
wheat,A  shipped ask law,3.5,0.23788012670742054,0.11010046656109747,0.23466841629443227,False,0.0,1.0,0.0,0.9311344617655914,0.0,0.980903148651123
wheat,"B  FOC q, P(offers), X* const, riv ewma",3.5,1.1384303498177932,0.25381302352825236,1.5213900756395071,False,0.6478548343048613,0.005332341269841269,0.628858024691358,1.3167491106947187,1.6815456071572754e-05,3.8051352500915527
wheat,"C  FOC q, P(offers), X*_t seas, riv ewma",3.5,1.1433185793269844,0.5104945538736733,1.5148442509372129,False,0.6791593081910909,0.013888888888888888,0.7295524691358025,1.2066590261137093,0.7973714426889751,3.9267489910125732
wheat,"D  mech q, P(exports), X*_t seas, riv ewma",3.5,1.147236268200848,0.06284338833148373,1.5180956615387369,False,0.0,1.0,0.708719135802469,0.5137697928916748,0.00010678830964228059,1.0164213180541992
wheat,"E  FOC q, P(exports), X*_t seas, riv ewma",3.5,0.8601298543911824,0.0674862900577936,1.2270840735213402,False,0.36701820579465616,0.0,0.43788580246913583,0.3566757993453357,2.539965714420944e-07,3.958513021469116
wheat,"F  mech q, P(offers), X*_t seas, riv ewma",3.5,1.1252305250099321,0.1089756389432916,1.5271049511840225,False,0.0,1.0,0.8113425925925927,0.883017784998341,1.3572698520647464e-10,1.0102810859680176
wheat,G  C with alpha = 1.0,1.0,0.8882678393476402,0.009884395555956901,1.2627936925035417,False,0.738256069297323,0.012855489417989419,0.38155864197530864,1.105326985427131,0.0003437697052031119,3.6082468032836914
wheat,"H  mech q, P(offers), X*_t seas, riv ref",3.5,0.8394263403363125,0.07211666016249463,1.1766180265692459,False,0.0,1.0,0.48070987654320985,0.8973218254084426,2.2359309226338553e-07,1.1117758750915527
wheat,"I  FOC q, P(offers), X*_t seas, riv ref",3.5,0.6594364141781672,0.15729313394329605,0.9749873090124106,False,0.5546269299539628,0.11742173721340388,0.5420524691358024,0.9863221645983306,0.005504621759872652,4.024838924407959
wheat,"J  FOC q, P(offers), X* const, riv ref",3.5,0.24165083308274368,0.018280225320860197,0.40193664410517915,False,0.6539958805916649,0.004133597883597883,0.10609567901234568,1.421226409546503,0.0037420113417478973,3.7287368774414062
wheat,"K  mech q, P(exports), X*_t seas, riv ref",3.5,0.48022388134513894,0.004252742073433602,0.7343722308825498,False,0.0,1.0,0.28279320987654316,0.51709946526533,0.00568205844708225,1.032749891281128
wheat,"L  FOC q, P(exports), X*_t seas, riv ref",3.5,0.5515787821984733,0.004618884681979014,0.7506467589173081,False,0.33914642699853237,0.0,0.2021604938271605,0.3640652920797954,0.0006898280308276217,3.779398202896118
wheat,"M  FOC q, P(offers), X*_t path, riv ref",3.5,0.6970826387635071,0.1973968711502575,0.9640746660050211,False,0.5721494698587583,0.14309138007054673,0.550925925925926,0.9374933777271984,0.03141136397181732,3.773361921310425
