crop,max_abs_dprice,max_abs_doffers,drift_unpatched,drift_patched
wheat,0.0,0.0,0.23788012670742054,0.23788012670742054
maize,0.0,0.0,0.3498420850564326,0.3498420850564326
rice,0.0,0.0,0.15895880261413195,0.15895880261413195
