crop,variant,d_t2,d_t6,d_t12,d_t24,d_t48,d_max,growth_per_step
wheat,J,0.0016432472808217446,0.07771018616896454,0.016250872686074655,0.07352132026742732,0.09018213390385242,0.24178391934849003,1.0401979536607784
wheat,N,0.12127488433662562,0.017327068849282666,0.0007697585747817303,0.06441950268084748,0.05873780193900185,0.15355027822864828,1.0063182726148725
wheat,M,0.051583070621292054,0.13717803925509697,0.48750302235767257,0.5506599925646972,0.5404782978478321,0.6946279490704216,1.01014428449544
maize,J,0.6421225510645355,0.7769180639866802,0.6602775505076873,0.5495668342755546,0.5078410802008931,0.849304408210074,0.9726663427450571
maize,N,0.23476769604722894,0.331736818992145,0.2904947966615132,0.035390085283152795,0.028584508468103623,0.8271313458871942,0.9981341596820318
maize,M,0.029250068633714637,0.015775024174041082,0.044981526173657575,0.3654250942696794,0.35977055416560777,0.5456375118425589,1.0465832651428482
rice,J,0.01679625745627517,0.002893284695703095,0.07060180235902698,0.018606537740925525,0.019308143113058913,0.26702301280059076,1.0128277309021074
rice,N,0.0046962682124341085,0.04248781168381419,0.22139771710359615,0.04523770357759561,0.04928806838673571,0.3575128213212935,1.0085620850620922
rice,M,0.0,0.005544671929857391,0.006906154750172775,0.028670467272575315,0.07997532418579946,0.6311638851123877,1.032811826843086
