crop,quantity,mean,cv,seas_cv,p05,p95,seas_min,seas_max
wheat,offers,75.22523188109214,0.8923786814840627,0.8423246171873563,0.14344794902687455,2.94343601494634,0.10500295369050795,2.9718130545139214
wheat,exports,4.06734115552665,0.5179696102258458,0.47183340953126074,0.4574801701324735,1.9423674006165699,0.37087318050396306,1.8024316973347427
wheat,demand,7.708607229414806,0.4073133365666579,0.35622083932581955,0.3702170299280457,1.8027901979996928,0.32522827943036403,1.8165007835844815
wheat,fill(world),0.11999909314167212,0.8213850302559744,0.7631444325806424,0.0699956072214824,2.506669178568343,0.056255290715970796,2.94304514008054
maize,offers,182.57969973839596,0.581786638837256,0.5470461207852544,0.4410725190773778,2.4479185581076255,0.3861524352813863,2.4690371452016824
maize,exports,3.492217415502284,0.5992955139947476,0.5359120922995309,0.03226656042300391,1.9872978860644883,0.021857382633753804,1.8629155781266493
maize,demand,4.073958086398441,0.5926813917571224,0.5411161531947952,0.027659058305920553,1.8206950357680993,0.018736258614376656,1.8822600898456823
maize,fill(world),0.025806867392518293,0.6059724831570494,0.5188810968402301,0.009509671801741363,1.922712568237722,0.008862503713078928,1.889795014965167
rice,offers,13.653936926887322,1.6893659222993869,1.6081989673561703,0.0,5.162306216435632,0.0,5.5267892598641986
rice,exports,1.1107424006031656,0.7507006490956095,0.6892466524562041,0.0,2.652169573793958,0.0,2.7188546609794813
rice,demand,7.002558305726428,0.5685698622816617,0.5532673867105442,0.19970035678490286,1.8284102738257257,0.1638178490525859,1.8313572010914676
rice,fill(world),0.4267630741856034,0.9092248610237785,0.8607039958668135,0.0,2.3432205373164274,0.0,2.3432205373164274
