crop,year,country,my_month,model_stock,model_cons,psd_stock,psd_cons,stock_ratio,cons_ratio,psd_dstock,model_dstock,psd_dcons,model_dcons,safety_mmt,target_mmt,c_ann_mmt,model_stu,psd_stu,stock_over_safety,stock_over_target,stock_minus_target_over_cann
wheat,2006,Argentina,11,2.52848001424587,5.175656419599113,0.587,5.3500000000000005,4.307461693774906,0.9674124148783387,,,,,1.135,1.135,5.675,0.4455471390741621,0.10971962616822428,2.2277356953708103,2.2277356953708103,0.2455471390741621
wheat,2007,Argentina,11,4.6923815629941865,4.661190852041287,2.352,5.65,1.9950601883478685,0.824989531334741,31.101321585903086,38.13042376649016,5.286343612334799,-9.065472556085039,1.135,1.135,5.675,0.8268513767390637,0.4162831858407079,4.134256883695318,4.134256883695318,0.6268513767390638
wheat,2008,Argentina,11,2.3177494678261583,5.062259867441338,1.2590000000000001,5.325,1.8409447719032233,0.950659130035932,-19.259911894273124,-41.843737359789046,-5.726872246696039,7.0672954255515705,1.135,1.135,5.675,0.40841400314117327,0.23643192488262912,2.042070015705866,2.042070015705866,0.20841400314117328
wheat,2009,Argentina,11,2.3099340571858,5.376486317341854,2.338,5.825,0.9879957472993155,0.9230019428913053,19.013215859030836,-0.13771648705477554,8.81057268722467,5.537029954194108,1.135,1.135,5.675,0.40703683827062553,0.4013733905579399,2.0351841913531277,2.0351841913531277,0.20703683827062552
wheat,2010,Argentina,11,3.700586717739951,5.492339288775922,4.107,5.95,0.9010437588848188,0.9230822334077179,31.171806167400884,24.504892696989447,2.2026431718061676,2.0414620517016333,1.135,1.135,5.675,0.65208576524052,0.6902521008403362,3.2604288262025998,3.2604288262025998,0.45208576524051997
wheat,2011,Argentina,11,4.811902224682729,5.040954193708078,0.736,5.95,6.537910631362404,0.8472191922198451,-59.40088105726873,19.58265210471856,0.0,-7.953922380050106,1.135,1.135,5.675,0.8479122862877057,0.12369747899159664,4.239561431438528,4.239561431438528,0.6479122862877057
wheat,2006,Australia,9,0.0,6.342977745501762,4.1530000000000005,7.4,0.0,0.8571591547975353,,,,,1.2973333333333334,1.2973333333333334,6.486666666666667,0.0,0.5612162162162162,0.0,0.0,-0.2
wheat,2007,Australia,9,0.0,5.938947820082451,3.736,6.615,0.0,0.8978001239731596,-6.428571428571432,0.0,-12.10174717368962,-6.228621666279209,1.2973333333333334,1.2973333333333334,6.486666666666667,0.0,0.5647770219198791,0.0,0.0,-0.2
wheat,2008,Australia,9,0.27124849287448677,5.786289399142934,3.109,7.415,0.08724621835782785,0.7803492109430794,-9.665981500513878,4.1816314420527245,12.332990750256933,-2.3534186167448623,1.2973333333333334,1.2973333333333334,6.486666666666667,0.041816314420527245,0.41928523263654754,0.20908157210263623,0.20908157210263623,-0.15818368557947277
wheat,2009,Australia,9,1.1701932170509368,6.145458075504992,5.067,5.17,0.2309439938920341,1.1886766103491282,30.184994861253855,13.85834621032554,-34.60945529290853,5.537029954194115,1.2973333333333334,1.2973333333333334,6.486666666666667,0.18039977652378264,0.9800773694390716,0.9019988826189131,0.9019988826189131,-0.01960022347621736
wheat,2010,Australia,9,1.179835193029268,6.2778809139253715,8.184000000000001,5.815,0.14416363551188513,1.0796011889811472,48.0524152106886,0.14864300069369898,9.943473792394663,2.0414620517016346,1.2973333333333334,1.2973333333333334,6.486666666666667,0.18188620653071963,1.4073946689595873,0.9094310326535981,0.9094310326535981,-0.01811379346928037
wheat,2011,Australia,9,1.4292982012704127,5.761936482206122,7.051,6.505,0.20270858052338855,0.8857704046435237,-17.4665981500514,3.8457812164616336,10.6372045220966,-7.9539223800501,1.2973333333333334,1.2973333333333334,6.486666666666667,0.22034401869533596,1.083935434281322,1.1017200934766798,1.1017200934766798,0.02034401869533596
wheat,2006,Brazil,9,1.3877787807814457e-17,8.393282016472366,1.85,10.3,7.501506923142948e-18,0.8148817491720743,,,,,2.143333333333334,5.903829326728047,10.716666666666669,1.2949724237462944e-18,0.1796116504854369,6.474862118731471e-18,2.3506417682141305e-18,-0.550901647906194
wheat,2007,Brazil,9,0.428648865467064,7.1977871411898215,1.3780000000000001,10.3,0.3110659401067227,0.6988142855524098,-4.404354587869362,3.999833892383178,0.0,-11.155473175264795,2.143333333333334,4.696549042818383,10.716666666666669,0.03999833892383178,0.1337864077669903,0.1999916946191589,0.09126890011348275,-0.39824885014164707
wheat,2008,Brazil,9,0.9352954651894434,8.776165643097933,2.566,10.700000000000001,0.3644955047503677,0.8202023965512086,11.0855365474339,4.727651008295919,3.732503888024886,14.728259737867289,2.143333333333334,3.851939152053631,10.716666666666669,0.08727484900679097,0.2398130841121495,0.4363742450339548,0.24281158872688788,-0.2721595975300952
wheat,2009,Brazil,9,0.5892454738329291,9.484470273403574,2.588,11.0,0.2276837225011318,0.8622245703094158,0.2052877138413708,-3.229082345472916,2.799377916018652,6.609374466304577,2.143333333333334,4.379977827706167,10.716666666666669,0.054984025552061805,0.23527272727272727,0.274920127760309,0.13453161112039744,-0.35372308123233936
wheat,2010,Brazil,9,0.7069743988258838,9.402883351616168,1.846,10.8,0.3829763807290811,0.8706373473718674,-6.923794712286158,1.0985591756729822,-1.8662519440124345,-0.76130875695868,2.143333333333334,4.160938030597897,10.716666666666669,0.06596961730879163,0.17092592592592593,0.3298480865439581,0.16990745683475045,-0.32229831711713963
wheat,2011,Brazil,9,0.7667971692018463,9.519334938485446,1.748,11.200000000000001,0.43867114942897384,0.8499406195076291,-0.914463452566097,0.5582218075517495,3.732503888024886,1.0866400018906202,2.143333333333334,2.143333333333334,10.716666666666669,0.07155183538430912,0.15607142857142856,0.3577591769215456,0.3577591769215456,-0.1284481646156909
wheat,2006,Canada,7,0.7530504638882365,8.094950993280591,6.865,8.984,0.10969416808277298,0.9010408496527818,,,,,1.6090666666666669,1.6090666666666669,8.045333333333334,0.09360090286976754,0.7641362422083705,0.46800451434883766,0.46800451434883766,-0.10639909713023248
