crop,probe,is_probe_not_default,median_stock_ratio,n_country_years,ratio_USA,ratio_Canada,ratio_Australia,ratio_Russia,ratio_EU,ratio_China,ratio_India,price_max,price_mean,world_stock_mean,ratio_Argentina,ratio_Brazil,ratio_Vietnam,ratio_Thailand,ratio_Indonesia
wheat,baseline,True,0.46012718281215326,83,0.2698082579424139,0.15215633836239384,0.11570492693485648,0.8667684077386173,1.1845845322719941,1.7284968302974986,2.0635834202199197,536.4882728079783,342.0601402372471,291.71553943152475,,,,,
wheat,stu_target+0.10 (max_stu held),True,0.5611406970317494,83,0.40284275283172244,0.2511466630490267,0.16099945545356564,0.9612296554882975,1.5532992245136041,1.7795658956315061,2.0997477001494147,520.422129445672,338.2618372234019,305.96828474633065,,,,,
wheat,stu_target+0.10 & max_stu+0.10,True,0.6451276625160685,83,0.40867802212673765,0.2530569536779965,0.20088204833388557,1.074628840150317,1.785820236308774,1.825440669922023,2.214073674879034,516.797098995128,336.3739733265332,324.4116900510819,,,,,
wheat,stu_target x2 & max_stu x2,True,0.795667646852504,83,0.564911041543463,0.3670417275634985,0.2932553596889161,1.4457923229374736,2.2764435148733013,1.9715449630625095,2.4842733841871194,526.65611774619,339.7223504410784,366.06544824295673,,,,,
wheat,offer damp 30% (uniform synthetic cut),True,0.6470958300986873,83,0.315177006052325,0.24278203069289073,0.35939296006265853,1.2659057857059839,1.7060335656847827,1.9414689966295007,2.7503513425712596,624.0067489211516,523.4955835797931,345.3041729939497,,,,,
wheat,REBASE: s_i = stu_target x (dom use + exports),True,0.6864767346763216,83,0.5544041326843654,0.6036729598426096,0.6024829936487286,0.92494142497998,1.3185684950409482,1.6665207698532571,1.9559380883090645,531.2612109108512,341.984033768268,299.7691624320793,,,,,
wheat,S3 shape: s_i = PSD country STU x dom use,True,0.75428994578336,83,0.8408080956461732,0.7056562817334835,0.7516773913149573,0.841757629875669,0.5519729671077682,1.8996283706881578,1.6304111867453057,521.8742696814188,339.36719108932834,296.419664677094,,,,,
maize,baseline,True,1.7028705307676717,56,1.0092948088783462,,,,3.413578399924649,2.792849210338871,,393.94603899432104,207.842460889847,393.22277675952375,0.28211164527796495,3.27705780887866,,,
maize,stu_target+0.10 (max_stu held),True,2.2118154636669325,56,1.3786024729239257,,,,4.629087586915912,2.9904051739806303,,372.9251854209867,232.9197091126696,435.88323372663086,0.31830884135785287,3.417773404671954,,,
maize,stu_target+0.10 & max_stu+0.10,True,2.34537439503881,56,1.5622918664272742,,,,4.603911623379934,2.9783773492487873,,322.72068381055453,209.34390630675952,450.4785708142656,0.38102564095450847,3.6339136883806757,,,
maize,stu_target x2 & max_stu x2,True,2.7709621690575292,56,1.874068524896872,,,,5.1844652124141675,3.2348301581389034,,318.6481714892472,208.3431489319263,490.9016728346592,0.45491675001475296,3.608852500326841,,,
maize,offer damp 30% (uniform synthetic cut),True,2.680703659860573,56,2.35351991844367,,,,5.048587176866869,3.6594536952826644,,382.24891567054374,342.86539430582366,509.1852826262162,0.9034310679463313,4.506453995869374,,,
maize,REBASE: s_i = stu_target x (dom use + exports),True,1.762368152661522,56,1.2017698544952626,,,,3.500010116614791,2.826784804143772,,396.6032947858123,214.8124513390227,401.33926626359016,1.0975457264802926,3.3929955423416667,,,
maize,S3 shape: s_i = PSD country STU x dom use,True,1.414613971701982,56,0.8232802734140422,,,,2.6052650151284444,2.7789879921537075,,436.7309984329561,202.20364630986717,379.0899817385825,0.5191542390399282,3.1111552950372956,,,
rice,baseline,True,1.0638987883107625,53,,,,,,1.1729343478561418,1.4355108463440995,902.3360933543536,640.8274338835955,98.25646218281526,,,5.953791765531676,1.1341396495915261,0.6477329881293871
rice,stu_target+0.10 (max_stu held),True,1.1059779157075622,53,,,,,,1.162222647234997,1.5068468926873249,874.5151342399687,644.7386027580645,100.4896450974108,,,5.877675397990625,1.0285223997446717,0.5611744126721442
rice,stu_target+0.10 & max_stu+0.10,True,1.176395849201997,53,,,,,,1.4134535303435811,1.884115973814807,876.0040840035847,649.7847299987241,128.90523718121116,,,6.899930766926322,1.222937756610585,1.061948198053647
rice,stu_target x2 & max_stu x2,True,1.5302072971226084,53,,,,,,1.7076124879349397,2.3442937502425494,883.6575658458659,666.7283007895803,163.67595319996508,,,8.011893803583794,1.4927231486768415,1.5941925066523035
rice,offer damp 30% (uniform synthetic cut),True,1.1654211615827372,53,,,,,,1.2601271586839822,1.5060747593046084,975.2374513723813,778.1941449916249,108.73695461211125,,,6.016906133480074,1.3295488683973549,0.7306642496627735
rice,REBASE: s_i = stu_target x (dom use + exports),True,1.1135914790675312,53,,,,,,1.1611333972693574,1.4377745102286448,898.7394118313496,640.6775594289023,98.53969562804171,,,6.003432402415857,1.2015625259697265,0.6003627549693074
rice,S3 shape: s_i = PSD country STU x dom use,True,1.1424089212048039,53,,,,,,1.206147020912227,1.4903298648286454,873.034912513102,648.5062234724384,99.22872539605252,,,5.735179858895636,1.4136643551814396,0.5263898095706104
