crop,country,log_total,log_below_target,log_lean_term,log_target_level,log_domestic_base,export_share,psd_stu_totuse,psd_stu_dom,model_over_psd,log_recon,recon_resid
wheat,Brazil,-7.478667361092271,-8.20126843607869,0.6269964700429691,0.17329069844260592,-0.10207362675045961,0.09703693301502596,0.168178626597388,0.18625194401244166,0.28748211625271286,-7.503054894343575,0.024387533251303495
wheat,Indonesia,-3.944192927683192,-4.131602359744705,0.48550781578170216,-0.2391021084759588,-0.03588029097637568,0.03524422345715122,0.2540216437554841,0.26330150068212826,0.02003059874248953,-3.921076943415337,-0.023115984267854994
wheat,Canada,-1.9081191169106644,-0.5308803250095557,0.0,-0.22299578910830076,-1.170867427909413,0.6899021629504005,0.24996306217759703,0.8060780576731853,0.15036611487959892,-1.9247435420272694,0.016624425116605
wheat,Australia,-1.8593483180266992,-0.41655905944319366,0.0,-0.2012601485307033,-1.1902876041317,0.6958662186449949,0.24458857544737048,0.8042137718396712,0.1662656070712839,-1.808106812105597,-0.051241505921102215
wheat,RestOfWorld,-1.6025813968824192,-1.6248685681574446,0.12045699264513528,0.032876436322990754,-0.05503017925220792,0.053543415829488274,0.19353162391951761,0.20448019186123736,0.2054508161070019,-1.5265653184415264,-0.07601607844089275
wheat,USA,-1.3243809671436453,-0.3236541422276366,0.0,-0.41127133767615054,-0.660606514107833,0.4834620480892373,0.30174693551695647,0.5841718588164582,0.2810485453180356,-1.3955319940116202,0.07115102686797492
wheat,Kazakhstan,-1.128237029338692,-0.4534989373815683,0.34830669426821603,-0.3383277095999333,-0.714835067637651,0.5107271979389923,0.2805200147214825,0.5733407079646017,0.35389148220737204,-1.1583550203509367,0.03011799101224466
wheat,Egypt,-0.5298036559491041,-0.051132259663992354,0.0,-0.48382512406441447,-0.007605413982476269,0.007576566001493971,0.32445358504477056,0.32693059628543497,0.593952391693423,-0.5425627977108831,0.012759141761779058
wheat,Russia,-0.13768360214176886,0.007999872071747812,0.0,0.06181779903362905,-0.31690993543022655,0.2716036451241228,0.18801082999260438,0.25811610496683834,0.8929807600996305,-0.2470922643248497,0.10940866218308085
wheat,Ukraine,0.029520425620421103,0.10046030524896112,0.0,0.23710376362296315,-0.3995524565404947,0.3293798894710399,0.15778188473408455,0.2352775919732442,1.1649969917402985,-0.061988387668570455,0.09150881328899156
wheat,EU,0.14169712419740246,-0.3368459593145076,0.0,0.6109464803864324,-0.14230235387684376,0.13264103251057088,0.10856736828617689,0.12517005340986465,1.177065230866236,0.13179816719508103,0.009898957002321435
wheat,Argentina,0.2961686952974024,1.0064291651447586,0.0,0.46183032387271905,-0.9752077550861692,0.6228860019271023,0.126025849752467,0.33418502202643163,1.4312611166088065,0.4930517339313084,-0.196883038633906
wheat,China,0.5307041856731588,1.3193778113178356,0.0,-0.7886078743329124,-0.013833854243906754,0.013738606203989479,0.4400662311304327,0.4461963470319635,1.7055197471920245,0.5169360827410165,0.013768102932142257
wheat,India,0.8092930748352268,0.4686879230395069,0.0,0.20939108932514872,-0.0025651540136925654,0.0025618668174578166,0.1622155939343972,0.16263223606341703,2.3250530634189124,0.675513858350963,0.13377921648426383
maize,Argentina,-1.5597127990642707,-0.7610293395647112,0.0,0.5566206350330263,-1.1637512985759626,0.6876875964103071,0.09170282448954781,0.29362530413625304,0.2436670336220154,-1.3681600031076475,-0.19155279595662322
maize,Thailand,-0.9094136677636829,-0.41338447324044975,0.0,0.31910021566690006,-0.12956520435464366,0.12152269399707173,0.11628843338213761,0.132375,0.4027603061666044,-0.22384946192819336,-0.6855642058354896
maize,RestOfWorld,-0.5712391398431402,-0.6988379308002437,0.0,0.1979001716465132,-0.04370403061289084,0.042762771532964934,0.13127228054358978,0.13713662260484313,0.6072788502807638,-0.5446417897666214,-0.026597350076518866
maize,Egypt,-0.28179438561784115,-0.44388996718032214,0.0,0.3025092208026887,-0.0009644470520928419,0.0009639821225133644,0.11823386790523766,0.11834795321637429,0.7767400693655424,-0.14234519342972626,-0.13944919218811488
maize,USA,-0.11908709324025012,-0.31564796129036143,0.0,0.3470515818057396,-0.171793854121853,0.15784723840381112,0.11308301934446205,0.1342785115732782,0.9294714352697073,-0.14039023360647485,0.02130314036622473
