crop,country,n_withhold_steps,n_no_cut,n_ask_at_clip,median_r_step,p10_r_step,p90_r_step,min_r_step,max_r_step,share_r_negative,share_r_below_carry,median_cy_usd_t,median_cy_frac,mean_cover_mmt
wheat,USA,140,140,29,0.0,-0.0468596822397467,0.07765305841685193,-0.06721073137462918,0.13193118353811628,0.44285714285714284,0.55,2.745686939380903,0.00459198932161369,12.521963321709165
wheat,Russia,140,102,23,-0.0003314468263508896,-0.04370721255197614,0.08233221327431509,-0.07521269523639573,0.15088079193380777,0.5,0.6357142857142857,2.745686939380903,0.0075590743419059305,15.994061370274572
wheat,EU,140,140,4,-0.0018312549117870947,-0.04055302434040052,0.06082347756178406,-0.08610236848737529,0.13573778696489236,0.5214285714285715,0.6,2.8301053771646707,0.009127819128470004,53.92172747953706
wheat,Ukraine,140,104,19,0.0,-0.04455336370745311,0.07078445515388124,-0.08490378105454677,0.15026983637736224,0.45714285714285713,0.5571428571428572,2.745686939380903,0.00459198932161369,5.568637160462543
wheat,Kazakhstan,140,130,2,-0.0029360677908981114,-0.042936209068836176,0.06838174135522523,-0.08620375592966956,0.18106066804338594,0.55,0.6142857142857143,3.0864157130374394,0.011128356828597443,3.0224961337758063
wheat,Canada,140,140,6,-0.0021667118381438755,-0.042734718585182054,0.06917912060473884,-0.08432554099210732,0.12081322870303302,0.5285714285714286,0.6071428571428571,2.745686939380903,0.011014784579015878,3.152084075814642
wheat,Australia,136,54,15,0.001539021387175099,-0.050705792812801076,0.06569115062163577,-0.06830446806548485,0.16867676441191448,0.40441176470588236,0.5220588235294118,1.6357693259922854,0.00459198932161369,1.7197390388587133
wheat,Argentina,130,28,23,0.0,-0.044517366686826355,0.0668115461628215,-0.07153064894495065,0.17060166569292523,0.3923076923076923,0.5769230769230769,2.654704465361206,0.00459198932161369,1.5097993441072866
wheat,Brazil,105,105,0,0.009940363425648968,-0.026647988143204328,0.03336718742482914,-0.03269913233278199,0.04590863612662721,0.4380952380952381,0.4666666666666667,-1.0909915278190283,-0.0025719688685522032,1.334354124670184
wheat,India,137,25,10,0.0,-0.0449267616801277,0.0624872199990659,-0.06701161629130103,0.13931043160275491,0.4744525547445255,0.5109489051094891,2.1479557992193463,0.00459198932161369,18.867405701194873
wheat,China,140,48,9,0.004563113949353714,-0.044384303224650125,0.057092553940809775,-0.07787517180779402,0.13856868052083682,0.4357142857142857,0.5142857142857142,0.681676879836246,0.0030476566080953294,41.03651769320485
wheat,RestOfWorld,121,121,0,0.01264417617022362,-0.024617905826321618,0.029093163768005192,-0.03269913233278199,0.1280781025286406,0.39669421487603307,0.4214876033057851,-2.2204015940440627,-0.006231915894588828,32.56490788404165
wheat,Egypt,115,42,0,0.006231261390455378,-0.028198891732304786,0.03614156170630688,-0.08904726463207235,0.07341218520800763,0.3826086956521739,0.48695652173913045,0.3624705991890096,0.0011904899073718195,2.007684047570596
wheat,Mexico,121,121,0,0.009384062154411899,-0.03364790965796405,0.04324273425824443,-0.07491013409595826,0.11527754960972003,0.4049586776859504,0.4628099173553719,-0.24824068021780477,-0.0013917502819452332,1.0571920779319475
wheat,Nigeria,49,49,0,-0.004228138648222357,-0.029689461201819745,0.035468980967176655,-0.03269913233278199,0.044130572867407514,0.5306122448979592,0.5306122448979592,4.576634060227491,0.010082416308032327,0.21339548388838406
wheat,Indonesia,39,39,0,-0.020122771549806795,-0.030043020718435075,0.03428625903743745,-0.03269913233278199,0.036467290093381344,0.5641025641025641,0.5641025641025641,8.045673148906133,0.027102328137603205,0.22532082407044512
wheat,Thailand,22,22,0,-0.021926517524072764,-0.02955960608480359,0.03456106957294774,-0.030351565271319436,0.036467290093381344,0.6818181818181818,0.6818181818181818,8.358623752317214,0.02929465080969246,0.07021588772478862
wheat,Vietnam,14,14,0,-0.021630846785190116,-0.027772585584920472,0.03340218098193404,-0.029965884580213986,0.03420774174157737,0.6428571428571429,0.6428571428571429,8.329513461729448,0.028936340734883905,0.06415127213426654
maize,USA,95,95,5,0.008005678224696444,-0.03383083358488233,0.07199896590644136,-0.07468987044937125,0.7550548869114333,0.3157894736842105,0.5263157894736842,0.518537978021584,0.003107266407047165,120.36530006878043
maize,Russia,95,83,0,0.00788629084905823,-0.035851989504586255,0.03562741689515714,-0.08095904819359767,0.7037306151230007,0.3157894736842105,0.5157894736842106,0.4975764401083609,0.0027878097220722002,1.2378447767655933
maize,EU,94,94,0,0.011166698172414447,-0.018942473837460505,0.03003775810298102,-0.038605448698791456,0.6705744007059282,0.30851063829787234,0.43617021276595747,-0.254864988619218,-0.0013590349521583676,27.30383984110733
maize,Ukraine,95,85,0,0.005900605625146271,-0.03580348430842521,0.029659956664162393,-0.0791093277847611,0.7930738808773552,0.3473684210526316,0.5684210526315789,0.890600615340162,0.004761154822819182,2.322484111651986
maize,Kazakhstan,85,85,0,0.00723015687627937,-0.03873353792797074,0.03482009013902779,-0.0803189394692102,0.6317718571438777,0.3411764705882353,0.5058823529411764,0.538985829736248,0.0031904236487015794,0.15360421844955668
maize,Canada,95,95,0,0.009169063292780777,-0.019456159234532765,0.03477336215988523,-0.05847077322755523,0.7026080323354571,0.3368421052631579,0.4631578947368421,-0.039785465736514425,-0.00023003375919103096,6.545890839432327
maize,Australia,83,83,0,0.002957160370518075,-0.05277687544670672,0.0261659293616693,-0.09136281287349712,0.03583287635495158,0.37349397590361444,0.6385542168674698,1.3949808992412613,0.008406398551934301,0.07405275495787383
maize,Argentina,95,28,0,-0.0013808231246446034,-0.04974788197055391,0.08305922936310918,-0.07113755552597212,0.8262433866986556,0.5052631578947369,0.6210526315789474,1.7972542248368768,0.01244705857900798,1.2445508425016818
maize,Brazil,95,95,0,0.006973899077110435,-0.04963500416476119,0.03358562995359731,-0.0797449134001974,0.8190031043719026,0.3684210526315789,0.5473684210526316,0.7139578151269461,0.00444207410283673,9.56215114332871
maize,India,95,43,0,0.009564894897531762,-0.02955241476804733,0.05577663468209755,-0.07130303667230553,0.6942004215857354,0.30526315789473685,0.47368421052631576,-0.21500087098661425,-0.0007822749219894155,7.172167228189546
maize,Thailand,95,95,0,0.005503912962959712,-0.019044852934929322,0.027486066040590458,-0.04022437026608294,0.7176545505003742,0.4105263157894737,0.5157894736842106,0.6908966920545367,0.0029208472240941567,1.757755351179274
maize,Vietnam,93,74,0,0.010499649142527101,-0.019050335147027985,0.03444956558572886,-0.04195720901834987,0.6473499712358477,0.3010752688172043,0.43010752688172044,-0.09069644474568861,-0.0007680220645411371,2.0197939018473274
