crop,shock,p_base,p_shock,flexibility
wheat,0.01,213.54633246527783,199.22102091064542,6.909118041707056
wheat,0.02,213.54633246527783,209.4992291755785,0.9470890564400876
wheat,0.05,213.54633246527783,244.96434769748456,-2.675961038943762
wheat,0.1,213.54633246527783,326.15690301609135,-4.019767153926439
maize,0.01,135.44442165709597,108.01640259537908,22.514500582537945
maize,0.02,135.44442165709597,111.17494506951107,9.773756481943108
maize,0.05,135.44442165709597,122.44217462781994,1.9675575613985792
maize,0.1,135.44442165709597,146.0702275303979,-0.7168352600284643
rice,0.01,338.99073466710394,354.74214085250486,-4.519091378659638
rice,0.02,338.99073466710394,373.5329427951592,-4.802991191810333
rice,0.05,338.99073466710394,440.7358914315202,-5.117102301439131
rice,0.1,338.99073466710394,586.5307016323086,-5.203583475822086
