crop,mode,shortfall,price,free,stock,excess,offers
wheat,permanent,0.0,213.54633246527783,129.33881788692307,254.93344496405584,11.914125960667853,78.95477617509762
wheat,permanent,0.01,199.22102091064542,116.25934882644556,241.94150477601553,9.851683806016979,72.1146713465419
wheat,permanent,0.02,209.4992291755785,114.10652675344438,239.87621157545152,9.30018393929535,70.56416589869492
wheat,permanent,0.05,244.96434769748456,107.88240789527809,233.9162226530491,7.755272878617391,66.2170963142081
wheat,permanent,0.1,326.15690301609135,98.65610878079836,225.1303262489695,5.683368746414761,59.38331226980773
maize,permanent,0.0,135.44442165709597,274.7702417199834,416.04481122023117,37.52133086030589,193.01507359337802
maize,permanent,0.01,108.01640259537908,202.5924643456359,344.28221353751724,19.457927819252536,136.2199981572762
maize,permanent,0.02,111.17494506951107,199.0742381968141,341.179167080329,18.504183166791073,132.97892923533885
maize,permanent,0.05,122.44217462781994,188.9746276838756,332.3430924470202,15.80864921066802,123.37844322894962
maize,permanent,0.1,146.0702275303979,171.56969448177577,317.08921679287005,11.216099929558268,107.1412066355892
rice,permanent,0.0,338.99073466710394,25.579856884414493,75.46324633165229,19.075445186916593,14.267319698951722
rice,permanent,0.01,354.74214085250486,24.865990303876217,74.89826394397046,18.46322512610717,13.966466092495438
rice,permanent,0.02,373.5329427951592,24.50038031688078,74.6815381498315,18.14191995031662,13.650666380230023
rice,permanent,0.05,440.7358914315202,23.705724418251407,74.33486961354676,17.35335495092383,12.798536180757536
rice,permanent,0.1,586.5307016323086,21.725720424893336,73.10173500460984,15.838255529149274,11.530757737773902
wheat,transient,0.01,191.79269488446667,,,,
wheat,transient,0.02,203.8212534964073,,,,
wheat,transient,0.05,210.96218951642498,,,,
wheat,transient,0.1,216.9269657373477,,,,
maize,transient,0.01,102.28866900231958,,,,
maize,transient,0.02,102.37697397410332,,,,
maize,transient,0.05,102.64502177688588,,,,
maize,transient,0.1,103.11943726921757,,,,
rice,transient,0.01,368.8478398034016,,,,
rice,transient,0.02,375.5643254867068,,,,
rice,transient,0.05,403.66847442682706,,,,
rice,transient,0.1,452.8374655298378,,,,
