crop,mode,ask_rival,corr,hike_0708,hike_1011
wheat,ask,0.0,0.6851645834191433,1.526464631364933,1.520828077195657
wheat,ask,0.8,0.7198612368258547,2.2673764846341906,1.4472676909253321
wheat,foc+ces,0.0,0.5427317995518564,1.2162451136744399,1.2011445121985207
wheat,foc+ces,0.8,0.5427317995518564,1.2162451136744399,1.2011445121985207
maize,ask,0.0,0.4142311902200062,1.425011609818163,1.1056374373192008
maize,ask,0.8,0.7115343015231028,1.9716551959162116,1.698938753871961
maize,foc+ces,0.0,0.468039509069945,1.2924238635314802,1.3931488463684845
maize,foc+ces,0.8,0.468039509069945,1.2924238635314802,1.3931488463684845
rice,ask,0.0,0.34185122446599775,1.0139820556042696,0.9109607989970506
rice,ask,0.8,0.6777409747204022,1.7218949303223503,0.8204584882401206
rice,foc+ces,0.0,0.18678432938769976,1.0127223557168366,0.8799767731377108
rice,foc+ces,0.8,0.18678432938769976,1.0127223557168366,0.8799767731377108
