crop,reg_c,obs_0708,obs_1011,calm_drift,A2_lift,A2_pass,A4_offer_ratio,A4_pass,corr,hike_0708,hike_1011
wheat,0.05,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.30053946007746046,True,0.056422710623975816,True,0.5427317995518564,1.2162451136744399,1.2011445121985207
wheat,0.02,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.3058246259669293,True,0.05656748682217936,True,0.5358613083096344,1.2137340757823323,1.1974013339842253
wheat,0.01,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.3078562858394671,True,0.05660906125930144,True,0.5330018985464726,1.212655539793045,1.1959992228412966
wheat,0.005,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.308685384938721,True,0.056634254904234904,True,0.5312694701906092,1.2119107296443905,1.1951968842716392
wheat,0.002,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.30963678293316077,True,0.05663457600732364,True,0.5302068299884899,1.2112701536777668,1.1946930384156893
maize,0.05,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.07527422442729303,True,0.30004675261363717,True,0.468039509069945,1.2924238635314802,1.3931488463684845
maize,0.02,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.07554109193933356,True,0.3000465440720064,True,0.4602928090215956,1.2910194964695172,1.3982157756605278
maize,0.01,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.0756756007343864,True,0.3000462751000845,True,0.4574078553183353,1.2898180150101086,1.400148226673469
maize,0.005,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.07583129432496927,True,0.30004571212323716,True,0.4558658410762902,1.2897095381148924,1.4011547972104108
maize,0.002,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.07594640558947208,True,0.3000433220057198,True,0.45490295766833866,1.2896110931628364,1.4017513515335454
rice,0.05,1.83714665456457,0.7931662874839874,0.0,0.13830074709332085,True,0.5219096530801249,True,0.18678432938769976,1.0127223557168366,0.8799767731377108
rice,0.02,1.83714665456457,0.7931662874839874,0.0,0.054469245968593816,True,0.5220438045248723,True,0.10580898239881108,0.873310331867086,0.7679902409382381
rice,0.01,1.83714665456457,0.7931662874839874,0.0,0.011923305710199505,False,0.5220720278876387,True,0.07218519954391918,0.7968794590551124,0.7010547490589515
rice,0.005,1.83714665456457,0.7931662874839874,0.0,-0.008998185205512765,False,0.5221278029835111,True,0.05951224238279021,0.7436874656058904,0.6774685662594141
rice,0.002,1.83714665456457,0.7931662874839874,0.0,0.03922173067885981,False,0.5223682397196782,True,0.08937641790877095,0.6948229726001378,0.6694279076211971
