crop,test,value,n_rows_unit_sum,n_nodes,n_exporters,gamma,identical,max_abs_d_price,max_abs_d_offers,max_abs_d_exports,max_abs_d_stock,max_abs_d_ask,max_abs_d_trade
wheat,T1_max_abs_dev,3.3306690738754696e-16,16.0,18.0,,,,,,,,,
maize,T1_max_abs_dev,3.3306690738754696e-16,16.0,18.0,,,,,,,,,
rice,T1_max_abs_dev,2.220446049250313e-16,17.0,18.0,,,,,,,,,
wheat,T3_own_price_dXdq,4.440892098500626e-16,,,16.0,,,,,,,,
maize,T3_own_price_dXdq,8.881784197001252e-16,,,16.0,,,,,,,,
rice,T3_own_price_dXdq,4.440892098500626e-16,,,17.0,,,,,,,,
wheat,T2_gamma_invariance,,,,,0.0,False,3.979039320256561e-13,2.842170943040401e-14,2.8199664825478976e-14,2.842170943040401e-14,4.547473508864641e-13,2.4424906541753444e-14
wheat,T2_gamma_invariance,,,,,0.25,False,3.979039320256561e-13,2.842170943040401e-14,2.8199664825478976e-14,2.842170943040401e-14,4.547473508864641e-13,2.4424906541753444e-14
wheat,T2_gamma_invariance,,,,,1.25,True,0.0,0.0,0.0,0.0,0.0,0.0
wheat,T2_gamma_invariance,,,,,5.0,False,3.979039320256561e-13,2.842170943040401e-14,2.8199664825478976e-14,2.842170943040401e-14,4.547473508864641e-13,2.4424906541753444e-14
wheat,T2_gamma_invariance,,,,,50.0,False,3.979039320256561e-13,2.842170943040401e-14,2.8199664825478976e-14,2.842170943040401e-14,3.979039320256561e-13,2.4424906541753444e-14
maize,T2_gamma_invariance,,,,,0.0,False,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,1.700029006457271e-16
maize,T2_gamma_invariance,,,,,0.25,False,1.1368683772161603e-13,2.842170943040401e-14,8.881784197001252e-16,2.842170943040401e-14,1.7053025658242404e-13,8.881784197001252e-16
maize,T2_gamma_invariance,,,,,1.25,True,0.0,0.0,0.0,0.0,0.0,0.0
maize,T2_gamma_invariance,,,,,5.0,False,5.684341886080802e-14,2.842170943040401e-14,8.881784197001252e-16,2.842170943040401e-14,1.7053025658242404e-13,8.881784197001252e-16
maize,T2_gamma_invariance,,,,,50.0,False,5.684341886080802e-14,1.4210854715202004e-14,8.881784197001252e-16,1.4210854715202004e-14,1.1368683772161603e-13,8.881784197001252e-16
rice,T2_gamma_invariance,,,,,0.0,False,1.1368683772161603e-13,0.0,2.220446049250313e-16,1.7763568394002505e-15,0.0,1.1102230246251565e-16
rice,T2_gamma_invariance,,,,,0.25,False,2.2737367544323206e-13,3.552713678800501e-15,8.604228440844963e-16,1.4210854715202004e-14,2.2737367544323206e-13,6.661338147750939e-16
rice,T2_gamma_invariance,,,,,1.25,True,0.0,0.0,0.0,0.0,0.0,0.0
rice,T2_gamma_invariance,,,,,5.0,False,2.2737367544323206e-13,1.4210854715202004e-14,1.7763568394002505e-15,2.842170943040401e-14,5.684341886080801e-13,6.661338147750939e-16
rice,T2_gamma_invariance,,,,,50.0,False,2.2737367544323206e-13,7.105427357601002e-15,1.7763568394002505e-15,7.105427357601002e-15,3.410605131648481e-13,6.661338147750939e-16
