crop,config,omega,corr,h07,h10,o07,o10,corr_p_pscar,calm_drift
wheat,SHIPPED ask/stock,0.7,0.7198612368258547,2.2673764846341906,1.447267690925332,1.8165638656251264,1.1590269664976314,0.254588542535242,0.2562272953844141
wheat,best-corr ask/avail,0.2,0.7978578737967179,1.6788616371581642,1.6069353446785062,1.8165638656251264,1.1590269664976314,0.8084615539780873,0.0517285104032946
wheat,best-amplitude ask/stock,0.2,0.6637136953752012,1.5835786944858672,1.263883671237417,1.8165638656251264,1.1590269664976314,0.8259114082962664,0.0505019463889751
wheat,omega<=0.4 best ask/avail,0.2,0.7978578737967179,1.6788616371581642,1.6069353446785062,1.8165638656251264,1.1590269664976314,0.8084615539780873,0.0517285104032946
maize,SHIPPED ask/stock,0.8,0.7115343015231028,1.9716551959162116,1.698938753871961,1.836259971402727,1.4418926403601735,0.2979192273098475,0.342179826397712
maize,best-corr ask/offers,0.8,0.8208391990035045,2.375000152917785,1.526703202173345,1.836259971402727,1.4418926403601735,0.265960637229276,0.3556970892553514
maize,best-amplitude ask/offers,0.4,0.6814917179776844,1.8290383152582397,1.5205897997277271,1.836259971402727,1.4418926403601735,0.6614596691972305,0.1171589250792305
maize,omega<=0.4 best ask/offers,0.4,0.6814917179776844,1.8290383152582397,1.5205897997277271,1.836259971402727,1.4418926403601735,0.6614596691972305,0.1171589250792305
rice,SHIPPED ask/stock,0.72,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.83714665456457,0.7931662874839874,0.318274872835798,0.1948455590262311
rice,best-corr ask/avail,1.0,0.7506335470357091,2.326750607735307,0.9998549480409024,1.83714665456457,0.7931662874839874,0.328867309725604,0.4769446434468855
rice,best-amplitude ask/stock,0.72,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.83714665456457,0.7931662874839874,0.318274872835798,0.1948455590262311
rice,omega<=0.4 best ask/avail,0.4,0.696224919592766,2.169488412980662,1.036103770731532,1.83714665456457,0.7931662874839874,0.7939476518846447,0.0886317385749561
