crop,mode,calm_branch,drift,p0,passes_2pct
wheat,ask,True,1.3309387757818467e-16,213.5463324652778,True
wheat,ask,False,0.25622729538441413,213.5463324652778,False
wheat,ces,True,1.3309387757818467e-16,213.5463324652778,True
wheat,ces,False,0.26127991820109137,213.5463324652778,False
wheat,foc,True,1.3309387757818467e-16,213.5463324652778,True
wheat,foc,False,1.3309387757818467e-16,213.5463324652778,True
wheat,foc+ces,True,1.3309387757818467e-16,213.5463324652778,True
wheat,foc+ces,False,1.3309387757818467e-16,213.5463324652778,True
maize,ask,True,0.0,135.44442165709597,True
maize,ask,False,0.342179826397712,135.44442165709597,False
maize,ces,True,0.0,135.44442165709597,True
maize,ces,False,0.3435271007607692,135.44442165709597,False
maize,foc,True,0.0,135.44442165709597,True
maize,foc,False,2.0984038384658705e-16,135.44442165709597,True
maize,foc+ces,True,0.0,135.44442165709597,True
maize,foc+ces,False,2.0984038384658705e-16,135.44442165709597,True
rice,ask,True,0.0,338.990734667104,True
rice,ask,False,0.1948455590262311,338.990734667104,False
rice,ces,True,0.0,338.990734667104,True
rice,ces,False,0.19574438757315732,338.990734667104,False
rice,foc,True,0.0,338.990734667104,True
rice,foc,False,0.0,338.990734667104,True
rice,foc+ces,True,0.0,338.990734667104,True
rice,foc+ces,False,0.0,338.990734667104,True
