crop,eta,obs_0708,obs_1011,calm_drift,A2_lift,A2_floor,A2_pass,corr,hike_0708,hike_1011
wheat,0.85,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.2903010776133377,0.05,True,0.5773355205306192,1.2317816491866591,1.2127167204894178
wheat,1.0,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.30053946007746046,0.05,True,0.5427317995518564,1.2162451136744399,1.2011445121985207
wheat,1.5,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.3313004197372722,0.05,True,0.45379128576670824,1.1536587597850887,1.1271266669755717
wheat,2.0,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.3539406779088887,0.05,True,0.3973525905664126,1.099671718199825,1.0072624544115694
wheat,3.0,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.3714498738851588,0.05,True,0.3001384796727718,1.0175427613424657,0.745994632367205
wheat,4.0,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.34792759227814685,0.05,True,0.21865723220384978,0.9663648345809626,0.5352978697933476
wheat,6.0,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.22623208687398688,0.05,True,0.11377201298677199,1.0117599674187745,0.27561469483839973
maize,0.85,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.07527422442729303,0.0,True,0.468039509069945,1.2924238635314802,1.3931488463684845
maize,1.0,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.07444746241105227,0.0,True,0.4218251379100196,1.304103646076868,1.4111238002801665
maize,1.5,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.07109244108161072,0.0,True,0.301017655870089,1.3360927671456908,1.4568689266540478
maize,2.0,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.06725642032377133,0.0,True,0.18098780768796954,1.382291244918065,1.5150075741792397
maize,3.0,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.06084745048320994,0.0,True,0.10299383660382115,1.5385240596527627,1.6772780820023607
maize,4.0,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.05602370393492917,0.0,True,0.1166723564083287,1.7328971710496694,1.9447141940338368
maize,6.0,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.05062550733425697,0.0,True,0.13716442172377283,2.12344093131202,2.6367380029319425
rice,0.85,1.83714665456457,0.7931662874839874,0.0,0.1592155713646337,0.05,True,0.22312382660172592,1.043775260341723,0.9000329373334548
rice,1.0,1.83714665456457,0.7931662874839874,0.0,0.12915894859482058,0.05,True,0.17106224036625606,0.9982715890974964,0.8702027676862492
rice,1.5,1.83714665456457,0.7931662874839874,0.0,0.0621913696595231,0.05,True,0.0799922341657531,0.8916389290151624,0.7864791295813066
rice,2.0,1.83714665456457,0.7931662874839874,0.0,0.024492644079498138,0.05,False,0.049356019356381925,0.8276427182910924,0.7279220872845678
rice,3.0,1.83714665456457,0.7931662874839874,0.0,-0.005551059249810697,0.05,False,0.045289929650303824,0.76034076594596,0.6868844311062596
rice,4.0,1.83714665456457,0.7931662874839874,0.0,-0.016545149188789687,0.05,False,0.057099594399182364,0.7212909349916115,0.6803209611807984
rice,6.0,1.83714665456457,0.7931662874839874,0.0,-0.04820127423539855,0.05,False,0.08367871750994499,0.6563834697957205,0.6581771774420963
