crop,case,obs_0708,obs_1011,calm_drift_no_branch,corr,hike_0708,hike_1011
wheat,ask  ship,1.8165638656251262,1.1590269664976314,0.25622729538441413,0.7198612368258547,2.2673764846341906,1.4472676909253321
wheat,foc psi=0.00 ship,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.5202744190266158,1.2436688972544303,0.9607457512387307
wheat,foc psi=0.25 ship,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.5384692602594149,1.2307972568441603,1.0230063364211128
wheat,foc psi=0.50 ship,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.5477821913242668,1.223090745535844,1.0810899845348583
wheat,foc psi=0.75 ship,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.5488504238345553,1.2178505201992302,1.1410754905995466
wheat,foc psi=1.00 ship,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.5427317995518564,1.2162451136744399,1.2011445121985207
wheat,foc psi=0.50 offr,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.5505031135856076,1.2422903273138108,1.0641979408013846
wheat,foc psi=1.00 offr,1.8165638656251262,1.1590269664976314,1.3309387757818467e-16,0.5538765638661687,1.254166370994851,1.169802818023815
maize,ask  ship,1.836259971402727,1.4418926403601735,0.342179826397712,0.7115343015231028,1.9716551959162116,1.698938753871961
maize,foc psi=0.00 ship,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.42256878612697263,1.3045234000138448,1.5956476745311388
maize,foc psi=0.25 ship,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.4458495578395606,1.298352202469434,1.4265855145259934
maize,foc psi=0.50 ship,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.4378036932735414,1.2973838185736237,1.336280786567811
maize,foc psi=0.75 ship,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.4428355820176062,1.2953029793824222,1.3510940558414337
maize,foc psi=1.00 ship,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.468039509069945,1.2924238635314802,1.3931488463684845
maize,foc psi=0.50 offr,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.4394921420085372,1.3328347428191305,1.4716002757310658
maize,foc psi=1.00 offr,1.836259971402727,1.4418926403601735,2.0984038384658705e-16,0.34448622319583566,1.3603053279795783,1.2736100859885393
rice,ask  ship,1.83714665456457,0.7931662874839874,0.1948455590262311,0.6777409747204022,1.7218949303223503,0.8204584882401206
rice,foc psi=0.00 ship,1.83714665456457,0.7931662874839874,0.0,0.08056759226180332,0.862574247701505,0.739497397569644
rice,foc psi=0.25 ship,1.83714665456457,0.7931662874839874,0.0,0.08909573642487381,0.8805371047097962,0.7566891646249152
rice,foc psi=0.50 ship,1.83714665456457,0.7931662874839874,0.0,0.10111795636680036,0.9072544982464735,0.7857380978823932
rice,foc psi=0.75 ship,1.83714665456457,0.7931662874839874,0.0,0.12768290444294852,0.9497572006114959,0.830445281170875
rice,foc psi=1.00 ship,1.83714665456457,0.7931662874839874,0.0,0.18678432938769976,1.0127223557168366,0.8799767731377108
rice,foc psi=0.50 offr,1.83714665456457,0.7931662874839874,0.0,0.09999640386306381,0.9059159143771324,0.7865211499912907
rice,foc psi=1.00 offr,1.83714665456457,0.7931662874839874,0.0,0.1847173662959015,1.0108945723491682,0.8815889346387716
