crop,mode,foc_mu,obs_hike_0708,obs_hike_1011,corr,hike_0708,hike_1011
wheat,ask,1.0,1.8165638656251262,1.1590269664976314,0.7198612368258547,2.2673764846341906,1.4472676909253321
wheat,ces,1.0,1.8165638656251262,1.1590269664976314,0.7275870580340043,2.2803563880141575,1.452580760137164
wheat,foc,1.0,1.8165638656251262,1.1590269664976314,0.5759781783878816,1.2399481294163608,1.211313882532858
wheat,foc,1.1,1.8165638656251262,1.1590269664976314,0.5724273285167174,1.1895211785808288,1.1972948651526518
wheat,foc,1.25,1.8165638656251262,1.1590269664976314,0.5607158663656627,1.1256096643513354,1.1825546452029554
wheat,foc+ces,1.0,1.8165638656251262,1.1590269664976314,0.5427317995518564,1.2162451136744399,1.2011445121985207
wheat,foc+ces,1.1,1.8165638656251262,1.1590269664976314,0.5347460985343399,1.159635886707303,1.1825150919988938
wheat,foc+ces,1.25,1.8165638656251262,1.1590269664976314,0.5219413769581583,1.0947030945162508,1.1656319534140132
maize,ask,1.0,1.836259971402727,1.4418926403601735,0.7115343015231028,1.9716551959162116,1.698938753871961
maize,ces,1.0,1.836259971402727,1.4418926403601735,0.7118846871136802,1.9668002467287127,1.6606297614979757
maize,foc,1.0,1.836259971402727,1.4418926403601735,0.33885612410503324,1.2663628896986514,1.010826060586393
maize,foc,1.1,1.836259971402727,1.4418926403601735,0.41324952334593185,1.23167017272256,1.115808460089119
maize,foc,1.25,1.836259971402727,1.4418926403601735,0.4176183036575543,1.1810071240020799,1.196874993457703
maize,foc+ces,1.0,1.836259971402727,1.4418926403601735,0.468039509069945,1.2924238635314802,1.3931488463684845
maize,foc+ces,1.1,1.836259971402727,1.4418926403601735,0.45927522321389763,1.2456243599577632,1.3546171644288585
maize,foc+ces,1.25,1.836259971402727,1.4418926403601735,0.4915235834670547,1.1944527792850892,1.2886900682271725
rice,ask,1.0,1.83714665456457,0.7931662874839874,0.6777409747204022,1.7218949303223503,0.8204584882401206
rice,ces,1.0,1.83714665456457,0.7931662874839874,0.6783417659217855,1.7213675933713213,0.8205219864284408
rice,foc,1.0,1.83714665456457,0.7931662874839874,0.19352111360814192,1.0186087145224871,0.8867657588705
rice,foc,1.1,1.83714665456457,0.7931662874839874,0.20027294445981228,0.9746153619752419,0.864606790559719
rice,foc,1.25,1.83714665456457,0.7931662874839874,0.19309763243309067,0.9290059841388483,0.8574196437058226
rice,foc+ces,1.0,1.83714665456457,0.7931662874839874,0.18678432938769976,1.0127223557168366,0.8799767731377108
rice,foc+ces,1.1,1.83714665456457,0.7931662874839874,0.19239477764206972,0.9693966662891599,0.8585216496054142
rice,foc+ces,1.25,1.83714665456457,0.7931662874839874,0.18198639586497908,0.9252157714006116,0.8484655021809931
