crop,ceiling,corr,hike_0708,hike_1011,mean_q_over_p0,share_at_ceiling
wheat,1.6,0.7578129248053613,1.7562102695054855,1.2859649794818218,1.3127699831120316,0.3107074569789675
wheat,2.0,0.7978444738522985,2.0269488051575855,1.3998085915377492,1.4887054996104248,0.21488372093023256
wheat,2.8,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.7375688371827016,0.08485401459854014
wheat,4.0,0.6287541030694767,2.30316784089275,1.368882246249731,1.9098421410834212,0.0144014401440144
wheat,10.0,0.6017123501759688,2.30316784089275,1.3676302867307604,1.9598952768306042,0.0
maize,1.6,0.586400686390582,1.93597204254492,1.4565636330941587,1.2534659053345236,0.10532544378698225
maize,2.0,0.6502860562680463,1.9695385498877627,1.5473475128563612,1.3228052044822036,0.021101992966002344
maize,2.8,0.7115343015231028,1.9716551959162116,1.698938753871961,1.4027898759304318,0.004645760743321719
maize,4.0,0.7567229512892046,1.9716551959162116,1.7255859131119557,1.4436704030839884,0.0
maize,10.0,0.7567229512892046,1.9716551959162116,1.7255859131119557,1.4436704030839884,0.0
rice,1.6,0.42053733997826565,1.1425452480201472,0.823161541403437,1.4803997936215374,0.6404886561954625
rice,2.0,0.5454290767787218,1.3181747538749755,0.8201647717350311,1.765727365510226,0.5682967959527825
rice,2.8,0.6777409747204022,1.7218949303223503,0.8204584882401206,2.3103542967737627,0.44761904761904764
rice,4.0,0.7198408863704648,2.026781482104072,0.8627199222806979,3.1810558822457247,0.4525862068965517
rice,10.0,0.7184357069331813,2.1014896512389685,0.9243321189128977,5.144755534772992,0.09695290858725762
