crop,eta,max_abs_dev_uprime,implied_elasticity,n_steps,n_wedge_active,mean_wedge,max_wedge,mean_regulariser_share
wheat,1.0,0.0,-1.0,144,140,1.4863116303171824,2.1946798809052432,0.07801444159194452
maize,0.85,0.0,-1.1764705882352942,144,137,1.3754233054125615,2.3760491485887445,0.0479380911001086
rice,0.95,0.0,-1.0526315789473684,144,137,2.06907917447095,3.0001411329248464,3.672356448276701
