ISO3 Code,Area,Area Code,Year,Production,Domestic supply quantity,Import Quantity,Export Quantity,Stock Variation,Source
BRB,Barbados,14,2006,0.0,23.0,31.0,7.0,1.0,FBS
BRB,Barbados,14,2007,0.0,26.0,35.0,9.0,0.0,FBS
BRB,Barbados,14,2008,0.0,28.0,37.0,9.0,1.0,FBS
BRB,Barbados,14,2009,0.0,22.0,30.0,7.0,1.0,FBS
BRB,Barbados,14,2010,0.0,21.0,29.0,7.0,2.0,FBS
BRB,Barbados,14,2011,0.0,21.0,32.0,7.0,4.0,FBS
BRN,Brunei Darussalam,26,2006,0.0,18.0,18.0,0.0,0.0,FBS
BRN,Brunei Darussalam,26,2007,0.0,17.0,16.0,0.0,-1.0,FBS
BRN,Brunei Darussalam,26,2008,0.0,16.0,16.0,0.0,1.0,FBS
BRN,Brunei Darussalam,26,2009,0.0,16.0,15.0,0.0,0.0,FBS
BRN,Brunei Darussalam,26,2010,0.0,16.0,15.0,0.0,0.0,FBS
BRN,Brunei Darussalam,26,2011,0.0,16.0,16.0,0.0,0.0,FBS
BTN,Bhutan,18,2006,9.1,13.21,4.203,0.093,0.0,QCL+TCL
BTN,Bhutan,18,2007,8.879,19.773,10.987,0.093,0.0,QCL+TCL
BTN,Bhutan,18,2008,5.828,12.196,6.461,0.093,0.0,QCL+TCL
BTN,Bhutan,18,2009,4.481,14.926,10.539,0.093,0.0,QCL+TCL
BTN,Bhutan,18,2010,4.873,16.502,12.259,0.63,0.0,QCL+TCL
BTN,Bhutan,18,2011,6.266,27.507,21.871,0.63,0.0,QCL+TCL
BWA,Botswana,20,2006,0.0,69.0,58.0,0.0,-11.0,FBS
BWA,Botswana,20,2007,0.0,64.0,68.0,7.0,-2.0,FBS
BWA,Botswana,20,2008,0.0,73.0,97.0,5.0,20.0,FBS
BWA,Botswana,20,2009,0.0,74.0,107.0,5.0,28.0,FBS
BWA,Botswana,20,2010,0.0,82.0,208.0,6.0,120.0,FBS
BWA,Botswana,20,2011,0.0,76.0,97.0,2.0,19.0,FBS
CAF,Central African Republic,37,2006,0.0,43.0,43.0,0.0,0.0,FBS
CAF,Central African Republic,37,2007,0.0,26.0,26.0,0.0,0.0,FBS
CAF,Central African Republic,37,2008,0.0,29.0,29.0,0.0,0.0,FBS
