Policy_ID,CPL_ID,Commodity_ID,Country_Name,PolicyMeasure_Name,Condition,CommodityClass_Name,HS_Code,HS_Version,Description,Short_Description,Shared_Group_Code,Start_Date,End_Date,Imposed_End_Date,Units,Value,Value_Text,Exemptions,Notes,Measure_Description,Link,Link_pdf,Source,Date_Of_Publication,Title_Of_Notice,Legal_Basis_Name,Product_Original_HS,Product_Original_Name,Type_Of_Change_Name,Original_Dataset,Country_Code,PolicyMeasure_Code,Condition_Code,Type_Of_Change_Code,CommodityClass_Code,Condition_Exists
197640,25187,50,Argentina,Export prohibition,n.a.,Soybeans,120190.0,HS2012,"Soya beans, whether or not broken. - Other.","Soya beans, whether or not broken (excl. seed for sowing)",,2007-11-12,,,,,elim,,Facilitate exports without affecting the proper domestic supply.,,http://www.infoleg.gov.ar/infolegInternet/anexos/130000-134999/134434/norma.htm,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/www.infoleg.gov.ar_infolegInternet_anexos_130000-134999_134434_norma.pdf,Comercio Exterior,2007-11-12,Resolución 341/2007,,,Soja y sus derivados,Elimination,OECD Export Restrictions,12,1,105,2,4,no
136498,25187,50,Argentina,Export prohibition,n.a.,Soybeans,120190.0,HS2012,"Soya beans, whether or not broken. - Other.","Soya beans, whether or not broken (excl. seed for sowing)",,2020-02-26,2020-03-04,Yes,,,,,,,https://contadoresenred.com/se-suspende-registro-de-exportaciones-agricolas/,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/EportBan_26.02.2020.pdf,Contadoresenred.com,2020-02-26,Comunicado oficial,Ley 21.453/1976,,Productos agricolas comprendidos en el régimen creado por la LEY n. 21.472,Introduction,OECD Export Restrictions,12,1,105,5,4,no
197644,25025,52,Argentina,Export prohibition,n.a.,Soybeans,120810.0,HS2012,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard. - Of soya beans.",Soya bean flour and meal,,2007-11-06,2007-11-11,Yes,,,,,To ensure the normal and transparent functioning of the agricultural export sector.,,http://www.infoleg.gov.ar/infolegInternet/anexos/130000-134999/134245/norma.htm,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/www.infoleg.gov.ar_infolegInternet_anexos_130000-134999_134245_norma.pdf,Comercio Exterior,2007-11-06,Resolución 333/2007,,,Soja y sus derivados,Introduction,OECD Export Restrictions,12,1,105,5,4,no
197641,25025,52,Argentina,Export prohibition,n.a.,Soybeans,120810.0,HS2012,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard. - Of soya beans.",Soya bean flour and meal,,2007-11-12,,,,,elim,,Facilitate exports without affecting the proper domestic supply.,,http://www.infoleg.gov.ar/infolegInternet/anexos/130000-134999/134434/norma.htm,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/www.infoleg.gov.ar_infolegInternet_anexos_130000-134999_134434_norma.pdf,Comercio Exterior,2007-11-12,Resolución 341/2007,,,Soja y sus derivados,Elimination,OECD Export Restrictions,12,1,105,2,4,no
137559,25025,52,Argentina,Export prohibition,n.a.,Soybeans,120810.0,HS2012,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard. - Of soya beans.",Soya bean flour and meal,,2020-02-26,2020-03-04,Yes,,,,,,,https://contadoresenred.com/se-suspende-registro-de-exportaciones-agricolas/,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/EportBan_26.02.2020.pdf,Contadoresenred.com,2020-02-26,Comunicado oficial,Ley 21.453/1976,,Productos agricolas comprendidos en el régimen creado por la LEY n. 21.456,Introduction,OECD Export Restrictions,12,1,105,5,4,no
197642,24900,54,Argentina,Export prohibition,n.a.,Soybeans,150710.0,HS2012,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Crude oil, whether or not degummed.","Crude soya-bean oil, whether or not degummed",,2007-11-06,2007-11-11,Yes,,,,,To ensure the normal and transparent functioning of the agricultural export sector.,,http://www.infoleg.gov.ar/infolegInternet/anexos/130000-134999/134245/norma.htm,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/www.infoleg.gov.ar_infolegInternet_anexos_130000-134999_134245_norma.pdf,Comercio Exterior,2007-11-06,Resolución 333/2007,,,Soja y sus derivados,Introduction,OECD Export Restrictions,12,1,105,5,4,no
197639,24900,54,Argentina,Export prohibition,n.a.,Soybeans,150710.0,HS2012,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Crude oil, whether or not degummed.","Crude soya-bean oil, whether or not degummed",,2007-11-12,,,,,elim,,Facilitate exports without affecting the proper domestic supply.,,http://www.infoleg.gov.ar/infolegInternet/anexos/130000-134999/134434/norma.htm,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/www.infoleg.gov.ar_infolegInternet_anexos_130000-134999_134434_norma.pdf,Comercio Exterior,2007-11-12,Resolución 341/2007,,,Soja y sus derivados,Elimination,OECD Export Restrictions,12,1,105,2,4,no
136566,24900,54,Argentina,Export prohibition,n.a.,Soybeans,150710.0,HS2012,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Crude oil, whether or not degummed.","Crude soya-bean oil, whether or not degummed",,2020-02-26,2020-03-04,,,,,,,,https://contadoresenred.com/se-suspende-registro-de-exportaciones-agricolas/,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/EportBan_26.02.2020.pdf,Contadoresenred.com,2020-02-26,Comunicado oficial,Ley 21.453/1976,,Productos agricolas comprendidos en el régimen creado por la LEY n. 21.477,Introduction,OECD Export Restrictions,12,1,105,5,4,no
140851,24900,54,Argentina,Export prohibition,n.a.,Soybeans,150710.0,HS2012,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Crude oil, whether or not degummed.","Crude soya-bean oil, whether or not degummed",,2022-03-13,2022-03-21,,,,,,"On 13 March, Argentina ceased registration of export sales of soybean oil and soybean meal for the 2021/22 crop. On 21 March, the Under-Secretariat for Agricultural Markets reopened export sales for both products.",,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/djve/_archivos/000005_Comunicado%20Oficial%2020%20de%20Marzo%202022.pdf; https://www.swissinfo.ch/spa/argentina-agricultura_argentina-suspende-registro-de-exportaciones-de-aceite-y-harina-de-soja/47429040,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/announcement_soybean_export_prohibition_ARG_03_2022.pdf; https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/news_soybean_export_prohibition_ARG_03_2022.pdf,"Ministerio de Agricultura, Ganadería y Pesca",2022-03-20,Comunicado oficial,,,soybean oil and flour,Introduction,OECD Export Restrictions,12,1,105,5,4,no
140452,25396,56,Argentina,Export prohibition,n.a.,Soybeans,150790.0,HS2012,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Other.","Soya-bean oil and its fractions, whether or not refined (excl. chemically modified and crude)",,2022-03-13,2022-03-21,,,,,,"On 13 March, Argentina ceased registration of export sales of soybean oil and soybean meal for the 2021/22 crop. On 21 March, the Under-Secretariat for Agricultural Markets reopened export sales for both products.",,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/djve/_archivos/000005_Comunicado%20Oficial%2020%20de%20Marzo%202022.pdf; https://www.swissinfo.ch/spa/argentina-agricultura_argentina-suspende-registro-de-exportaciones-de-aceite-y-harina-de-soja/47429040,https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/announcement_soybean_export_prohibition_ARG_03_2022.pdf; https://webfs.oecd.org/TADWEB/agriculture/data/AMIS/Indicators/Sources/news_soybean_export_prohibition_ARG_03_2022.pdf,"Ministerio de Agricultura, Ganadería y Pesca",2022-03-20,Comunicado oficial,,,soybean oil and flour,Introduction,OECD Export Restrictions,12,1,105,5,4,no
