area_code,area,year,unit,domestic_supply,exports,feed,food,imports,losses,production,seed,stock_variation
106,Italy,2009,1000 t,10820.0,3152.0,1350.0,8925.0,6853.0,33.0,6535.0,428.0,585.0
106,Italy,2010,1000 t,10910.0,3508.0,1720.0,8713.0,7951.0,34.0,6850.0,361.0,-382.0
106,Italy,2011,1000 t,10869.0,3821.0,1636.0,8805.0,7816.0,34.0,6642.0,317.0,233.0
107,C�te d'Ivoire,2006,1000 t,319.0,49.0,,312.0,368.0,7.0,,,0.0
107,C�te d'Ivoire,2007,1000 t,322.0,58.0,,315.0,380.0,7.0,,,0.0
107,C�te d'Ivoire,2008,1000 t,270.0,48.0,,263.0,318.0,6.0,,,0.0
107,C�te d'Ivoire,2009,1000 t,349.0,112.0,,340.0,512.0,9.0,,,-50.0
107,C�te d'Ivoire,2010,1000 t,373.0,131.0,,363.0,540.0,10.0,,,-35.0
107,C�te d'Ivoire,2011,1000 t,400.0,128.0,,389.0,473.0,10.0,,,55.0
108,Kazakhstan,2006,1000 t,7201.0,5655.0,1800.0,1736.0,155.0,690.0,13461.0,2250.0,-760.0
108,Kazakhstan,2007,1000 t,7416.0,8080.0,1800.0,1738.0,149.0,841.0,16467.0,2350.0,-1120.0
108,Kazakhstan,2008,1000 t,6380.0,7270.0,1400.0,1720.0,147.0,648.0,12538.0,2000.0,964.0
108,Kazakhstan,2009,1000 t,7857.0,6119.0,2000.0,1691.0,192.0,880.0,17052.0,2700.0,-3268.0
108,Kazakhstan,2010,1000 t,7205.0,8026.0,1000.0,1819.0,75.0,506.0,9638.0,2700.0,5517.0
108,Kazakhstan,2011,1000 t,8844.0,5363.0,2700.0,1520.0,164.0,1157.0,22732.0,2625.0,-8690.0
109,Jamaica,2006,1000 t,182.0,6.0,,177.0,173.0,3.0,,,15.0
109,Jamaica,2007,1000 t,184.0,8.0,,180.0,188.0,4.0,,,5.0
109,Jamaica,2008,1000 t,186.0,13.0,,181.0,204.0,4.0,,,-5.0
109,Jamaica,2009,1000 t,187.0,12.0,,183.0,213.0,4.0,,,-13.0
109,Jamaica,2010,1000 t,189.0,14.0,,185.0,184.0,4.0,,,19.0
109,Jamaica,2011,1000 t,191.0,12.0,,187.0,207.0,4.0,,,-5.0
11,Austria,2006,1000 t,1312.0,813.0,478.0,717.0,626.0,22.0,1396.0,53.0,103.0
11,Austria,2007,1000 t,1201.0,847.0,330.0,734.0,639.0,19.0,1399.0,54.0,9.0
11,Austria,2008,1000 t,1310.0,869.0,471.0,714.0,654.0,25.0,1690.0,56.0,-165.0
11,Austria,2009,1000 t,1196.0,881.0,387.0,673.0,863.0,22.0,1523.0,55.0,-310.0
11,Austria,2010,1000 t,1193.0,1087.0,419.0,649.0,947.0,22.0,1518.0,55.0,-185.0
11,Austria,2011,1000 t,1400.0,1021.0,577.0,683.0,998.0,29.0,1782.0,56.0,-359.0
110,Japan,2006,1000 t,6143.0,385.0,484.0,5321.0,5639.0,161.0,837.0,19.0,51.0
110,Japan,2007,1000 t,6589.0,349.0,522.0,5725.0,5574.0,163.0,910.0,21.0,453.0
110,Japan,2008,1000 t,6375.0,266.0,464.0,5576.0,6086.0,158.0,881.0,20.0,-326.0
110,Japan,2009,1000 t,6547.0,259.0,541.0,5669.0,4982.0,161.0,674.0,20.0,1150.0
110,Japan,2010,1000 t,6626.0,275.0,508.0,5779.0,5770.0,166.0,571.0,20.0,560.0
110,Japan,2011,1000 t,6972.0,265.0,819.0,5813.0,6541.0,169.0,746.0,20.0,-50.0
112,Jordan,2006,1000 t,784.0,22.0,,754.0,633.0,25.0,23.0,4.0,150.0
112,Jordan,2007,1000 t,819.0,30.0,,791.0,1108.0,25.0,21.0,2.0,-280.0
112,Jordan,2008,1000 t,891.0,41.0,,840.0,1014.0,49.0,8.0,2.0,-90.0
112,Jordan,2009,1000 t,985.0,46.0,,934.0,669.0,49.0,12.0,2.0,350.0
112,Jordan,2010,1000 t,930.0,42.0,,882.0,850.0,46.0,22.0,3.0,100.0
112,Jordan,2011,1000 t,1020.0,42.0,,963.0,1143.0,56.0,20.0,2.0,-100.0
113,Kyrgyzstan,2006,1000 t,1158.0,3.0,370.0,633.0,320.0,57.0,840.0,42.0,0.0
113,Kyrgyzstan,2007,1000 t,1218.0,4.0,425.0,651.0,514.0,43.0,709.0,45.0,0.0
113,Kyrgyzstan,2008,1000 t,1204.0,4.0,419.0,613.0,462.0,63.0,746.0,47.0,0.0
113,Kyrgyzstan,2009,1000 t,1506.0,4.0,681.0,662.0,453.0,58.0,1057.0,43.0,0.0
113,Kyrgyzstan,2010,1000 t,1247.0,2.0,387.0,731.0,436.0,29.0,813.0,43.0,0.0
113,Kyrgyzstan,2011,1000 t,1280.0,3.0,408.0,741.0,483.0,29.0,800.0,36.0,0.0
114,Kenya,2006,1000 t,986.0,7.0,,946.0,663.0,20.0,329.0,8.0,0.0
114,Kenya,2007,1000 t,1043.0,6.0,,996.0,726.0,20.0,322.0,10.0,0.0
114,Kenya,2008,1000 t,909.0,7.0,,874.0,580.0,18.0,337.0,10.0,0.0
114,Kenya,2009,1000 t,1033.0,8.0,,987.0,822.0,20.0,219.0,10.0,0.0
114,Kenya,2010,1000 t,1389.0,10.0,,1311.0,888.0,27.0,512.0,11.0,0.0
114,Kenya,2011,1000 t,1524.0,5.0,,1432.0,1561.0,35.0,268.0,12.0,-300.0
115,Cambodia,2006,1000 t,43.0,0.0,,43.0,43.0,0.0,,,0.0
115,Cambodia,2007,1000 t,43.0,0.0,,43.0,43.0,0.0,,,0.0
115,Cambodia,2008,1000 t,31.0,0.0,,30.0,31.0,0.0,,,0.0
115,Cambodia,2009,1000 t,36.0,0.0,,36.0,36.0,0.0,,,0.0
115,Cambodia,2010,1000 t,29.0,0.0,,29.0,29.0,0.0,,,0.0
115,Cambodia,2011,1000 t,35.0,1.0,,35.0,36.0,0.0,,,0.0
116,Democratic People's Republic of Korea,2006,1000 t,684.0,,8.0,640.0,275.0,20.0,199.0,16.0,210.0
116,Democratic People's Republic of Korea,2007,1000 t,671.0,,9.0,627.0,226.0,21.0,195.0,15.0,250.0
116,Democratic People's Republic of Korea,2008,1000 t,652.0,,11.0,601.0,67.0,25.0,175.0,15.0,410.0
116,Democratic People's Republic of Korea,2009,1000 t,629.0,,14.0,572.0,330.0,28.0,169.0,15.0,130.0
116,Democratic People's Republic of Korea,2010,1000 t,606.0,,13.0,551.0,224.0,28.0,160.0,13.0,222.0
116,Democratic People's Republic of Korea,2011,1000 t,626.0,,14.0,574.0,299.0,28.0,127.0,10.0,200.0
117,Republic of Korea,2006,1000 t,3426.0,62.0,1000.0,2395.0,3704.0,30.0,6.0,0.0,-222.0
117,Republic of Korea,2007,1000 t,3161.0,66.0,700.0,2430.0,3420.0,30.0,7.0,0.0,-201.0
117,Republic of Korea,2008,1000 t,3287.0,64.0,942.0,2314.0,2892.0,30.0,10.0,1.0,449.0
117,Republic of Korea,2009,1000 t,4714.0,80.0,2172.0,2509.0,4046.0,30.0,19.0,2.0,729.0
