crop,panel,year,psd_pct,model_pct,sign_agree
wheat,stock_change,2007,-0.8633671993420592,2.0427017604773794,0
wheat,stock_change,2008,6.374977977306481,4.220677166561791,1
wheat,stock_change,2009,5.200072128363651,7.079966818538368,1
wheat,stock_change,2010,-0.6469821083886574,-0.7490181876962135,1
wheat,stock_change,2011,0.07823392097598147,-0.6522528887856894,0
wheat,consumption_change,2007,-0.1137530687563475,-0.9665796787647292,1
wheat,consumption_change,2008,0.5396584369701134,-0.20209702408917998,0
wheat,consumption_change,2009,0.339668928247877,0.9148998412520114,1
wheat,consumption_change,2010,0.06026189895353422,0.37039212550441136,1
wheat,consumption_change,2011,0.9026273477402127,-1.204355907636329,0
maize,stock_change,2007,2.038242516000866,-2.2536473284442233,0
maize,stock_change,2008,1.3117365872878046,7.455869644167267,1
maize,stock_change,2009,-0.56019142737733,1.3248990493330592,0
maize,stock_change,2010,-2.040820083918248,-0.2029237671283526,1
maize,stock_change,2011,0.9807032218985255,4.068139578168094,1
maize,consumption_change,2007,0.8175257728978881,-0.6484687372201603,0
maize,consumption_change,2008,0.2011084777004295,-0.43667214927575826,0
maize,consumption_change,2009,0.5644114172274266,0.6945656659686237,1
maize,consumption_change,2010,0.5411654526539181,-0.3420818423935354,0
maize,consumption_change,2011,0.27394985081313955,-0.47888067871404594,0
rice,stock_change,2007,1.3660527255665713,2.1775498501153856,1
rice,stock_change,2008,2.9135881024470716,4.4352198127854185,1
rice,stock_change,2009,0.5706034814383726,0.5704952568477436,1
rice,stock_change,2010,1.2153142907836973,-0.12394512575707564,0
rice,stock_change,2011,2.2723188098776084,0.603115510011567,1
rice,consumption_change,2007,0.43928219893941,-0.7308800868196887,0
rice,consumption_change,2008,0.4815522535527685,-0.9598712746050697,0
rice,consumption_change,2009,-0.029215293039116786,0.36236420769707745,0
rice,consumption_change,2010,0.45818001912147616,-0.11903332433010433,0
rice,consumption_change,2011,0.593359969615951,0.10425842710588602,1
