crop,year,model_usd,obs_usd,ratio
wheat,2006,210.67753061287763,213.5463324652778,0.9865659043670693
wheat,2007,320.6889769066121,267.39126828631134,1.199324790827619
wheat,2008,449.2795451770135,317.1324233128835,1.4166938229893744
wheat,2009,308.7867481024652,232.27408522980815,1.3294067988555704
wheat,2010,271.8873201033826,223.58333333333334,1.216044666880578
wheat,2011,461.3923244444552,284.7624828749078,1.6202707596391426
wheat,-1,337.11874089113434,256.44832091708696,1.3145679397921626
maize,2006,113.02553904575977,135.44442165709597,0.8344790997144645
maize,2007,171.49198519208267,171.45634799429854,1.000207849975816
maize,2008,215.6062308296363,217.0243164500224,0.9934657754320693
maize,2009,188.89738880067537,171.61728096676737,1.1006897891434033
maize,2010,236.72244541737007,185.91666666666666,1.2732717817160202
maize,2011,284.3297446282736,262.6849902868244,1.0823981389946011
maize,-1,201.67888898563297,190.69067067027922,1.0576232611523682
rice,2006,345.61520990581056,338.990734667104,1.0195417589958968
rice,2007,471.79921395383207,342.14367085375824,1.3789505817148149
rice,2008,724.7528094958296,632.2999999999998,1.1462166843204646
rice,2009,713.7273383579819,575.4172792792792,1.2403647997014247
rice,2010,733.8428269558253,488.9083333333333,1.5009824478804656
rice,2011,721.1449172153712,489.0525322283609,1.4745755715229294
rice,-1,618.4803859807752,477.8020917269726,1.2944279581224385
