series,kind,hike_2007/08,hike_2010/11
SHEAF Gate 0 wheat,model,2.2673764846341906,1.4472676909253321
Pink Sheet HRW (MUV-real),observed,1.8165638656251262,1.1590269664976314
Agrimate full model,model,1.3727646934765931,0.9036017550819984
Agrimate prod-anomalies only,model,1.3648130558195726,0.8859668117331494
Agrimate unperturbed baseline,model,0.8947715589573767,0.8174795645463776
HRW US-CPI-real (Agrimate Fig4a),observed,2.004184267068936,1.294630610092134
