crop,n_nodes,n_named,n_agrimate_regions,row_share_psd_consumption,row_share_psd_stocks,world_psd_production_mmt
wheat,18,17,28,0.2765884732769328,0.21064808123322176,654.8966666666666
maize,18,17,28,0.1850607845748516,0.16779286894846612,818.8846666666668
rice,18,17,28,0.27752582475949517,0.16169466341258534,444.3533333333333
