crop,leg,corr_live,hike_2007/08_live,obs_hike_2007/08,hike_2010/11_live,obs_hike_2010/11,corr_disk,hike_2007/08_disk,hike_2010/11_disk,max_abs_price_drift,mean_price
wheat,full,0.6871963698005545,2.086534098791583,1.8165638656251262,1.3141872908546142,1.1590269664976314,0.6871963698005547,2.086534098791583,1.3141872908546142,5.684341886080802e-14,337.11874089113434
wheat,shocks,0.4242727200467438,1.1455368459886932,1.8165638656251262,1.793107513097554,1.1590269664976314,0.42427272004674393,1.1455368459886932,1.793107513097554,2.842170943040401e-14,207.00471528623544
wheat,demand,-0.02177240069653712,0.9167821613504746,1.8165638656251262,1.30230369614635,1.1590269664976314,-0.021772400696537155,0.9167821613504746,1.30230369614635,2.842170943040401e-14,188.25626026638608
wheat,tau,0.5160073115696797,1.6122309506160541,1.8165638656251262,1.2837984899286878,1.1590269664976314,0.5160073115696797,1.6122309506160541,1.2837984899286878,5.684341886080802e-14,323.2038249750276
wheat,none,,1.0,1.8165638656251262,1.0,1.1590269664976314,,,,,213.54633246527783
maize,full,0.7921112767257182,2.052576960050763,1.836259971402727,1.5152893790028277,1.4418926403601735,0.7921112767257182,2.052576960050763,1.5152893790028272,2.842170943040401e-14,201.67888898563297
maize,shocks,0.40641082185752325,1.267917124978484,1.836259971402727,1.0991315522594962,1.4418926403601735,0.40641082185752336,1.267917124978484,1.0991315522594958,2.842170943040401e-14,165.61179539503826
maize,demand,0.5502140120691654,1.414390480241265,1.836259971402727,1.1829032211956958,1.4418926403601735,0.5502140120691655,1.414390480241265,1.1829032211956958,2.842170943040401e-14,165.7918840723702
maize,tau,0.20648178152339514,1.0653582882193575,1.836259971402727,0.915775349989148,1.4418926403601735,0.20648178152339522,1.0653582882193575,0.915775349989148,2.842170943040401e-14,142.92568499854517
maize,none,,1.0,1.836259971402727,1.0,1.4418926403601735,,,,,135.44442165709597
rice,full,0.6757655371214287,1.5434381597067155,1.83714665456457,0.8445853735249156,0.7931662874839874,0.6757655371214287,1.5434381597067155,0.8445853735249156,5.684341886080802e-14,618.4803859807752
rice,shocks,-0.13173043794960443,0.9176616532345674,1.83714665456457,1.0514438779537634,0.7931662874839874,-0.13173043794960437,0.9176616532345674,1.0514438779537634,5.684341886080802e-14,340.7052985957246
rice,demand,0.3174116550172589,1.194024665534719,1.83714665456457,1.5776676308122315,0.7931662874839874,0.3174116550172588,1.194024665534719,1.5776676308122315,5.684341886080802e-14,346.51411167125957
rice,tau,0.643953788377386,1.5493390111328056,1.83714665456457,0.8236661407822373,0.7931662874839874,0.643953788377386,1.5493390111328056,0.8236661407822373,5.684341886080802e-14,614.4773131090041
rice,none,7.387678778667506e-17,1.0,1.83714665456457,1.0,0.7931662874839874,,,,,338.99073466710394
