crop,year,p0,baseline_flatness,none_usd,none_pct_vs_base,shocks_usd,shocks_pct_vs_base,tau_usd,tau_pct_vs_base,demand_usd,demand_pct_vs_base,full_usd,full_pct_vs_base,restriction_increment_pp,obs_usd
wheat,2006,213.54633246527783,0.0,213.54633246527783,0.0,210.67753061287763,-1.3434095632930854,213.54633246527783,0.0,175.73495250318186,-17.70640568984907,210.67753061287763,-1.3434095632930854,0.0,213.5463324652778
wheat,2007,213.54633246527783,0.0,213.54633246527783,0.0,236.18143949076443,10.599623399838553,254.88651771968884,19.35888328175004,146.2050631500325,-31.534734658201113,320.6889769066121,50.17302016121275,39.5733967613742,267.39126828631134
wheat,2008,213.54633246527783,0.0,213.54633246527783,0.0,204.02557112632311,-4.458405456578262,395.1215597110847,85.0284924819913,171.81010100108128,-19.544344771635338,449.2795451770135,110.38972666508586,114.84813212166412,317.1324233128835
wheat,2009,213.54633246527783,0.0,213.54633246527783,0.0,156.3460403592829,-26.785892993641347,320.556697723535,50.111076141125885,193.34818500369204,-9.458438001912285,308.7867481024652,44.59941528271072,71.38530827635208,232.27408522980815
wheat,2010,213.54633246527783,0.0,213.54633246527783,0.0,191.09223367346374,-10.514860420496841,291.5144827656089,36.511116533929936,208.26082864769978,-2.475108683235039,271.8873201033826,27.320060693428626,37.83492111392547,223.58333333333334
wheat,2011,213.54633246527783,0.0,213.54633246527783,0.0,243.70547645470072,14.122997871820964,463.5973594649701,117.09450783489808,234.17843129262906,9.66164981115092,461.3923244444552,116.06192863062942,101.93893075880845,284.7624828749078
maize,2006,135.44442165709597,0.0,135.44442165709597,0.0,113.02553904575977,-16.552090028553547,135.44442165709597,0.0,103.44449452230414,-23.625873065341818,113.02553904575977,-16.552090028553547,0.0,135.44442165709597
maize,2007,135.44442165709597,0.0,135.44442165709597,0.0,145.36091966401366,7.321451770101861,129.42959722747176,-4.440806314527979,123.35024706204803,-8.929252638891771,171.49198519208267,26.614284363994066,19.292832593892207,171.45634799429854
maize,2008,135.44442165709597,0.0,135.44442165709597,0.0,135.7301571346995,0.2109614217460587,151.88212591090948,12.136124952734306,151.92954788390395,12.171137079785609,215.6062308296363,59.18428252105179,58.973321099305736,217.0243164500224
maize,2009,135.44442165709597,0.0,135.44442165709597,0.0,191.57877221971623,41.44456440202118,154.86423232953982,14.33784458219245,181.55455785093386,34.04358454169098,188.89738880067537,39.46487163488064,-1.9796927671405413,171.61728096676737
maize,2010,135.44442165709597,0.0,135.44442165709597,0.0,198.54138488691115,46.585132453485215,140.92631935536147,4.04734106521123,210.71274737699707,55.57137370371559,236.72244541737007,74.77459944173943,28.18946698825421,185.91666666666666
maize,2011,135.44442165709597,0.0,135.44442165709597,0.0,209.43399941912938,54.62726102471203,145.00741351089243,7.0604545663807805,223.75970973803427,65.2040792824423,284.3297446282736,109.92355473163,55.29629370691798,262.6849902868244
rice,2006,338.990734667104,0.0,338.99073466710394,-2.220446049250313e-14,345.61520990581056,1.954175899589683,338.99073466710394,-2.220446049250313e-14,285.8718395437404,-15.669718871675787,345.61520990581056,1.954175899589683,0.0,338.990734667104
rice,2007,338.990734667104,0.0,338.99073466710394,-2.220446049250313e-14,322.9616013462821,-4.728487147757243,477.93531015493255,40.98772068926162,290.82264951978397,-14.209263033286767,471.79921395383207,39.17761334012528,43.906100487882526,342.14367085375824
rice,2008,338.990734667104,0.0,338.99073466710394,-2.220446049250313e-14,305.64297063929774,-9.837367401959952,711.852105644919,109.99161122913068,340.60425996009286,0.4759791722842799,724.7528094958296,113.79723260210994,123.6346000040699,632.2999999999998
rice,2009,338.990734667104,0.0,338.99073466710394,-2.220446049250313e-14,341.0581324368737,0.6098685180289332,723.0434704718487,113.29298901985996,339.33834019408283,0.10254130612750156,713.7273383579819,110.54479234037977,109.93492382235084,575.4172792792792
rice,2010,338.990734667104,0.0,338.99073466710394,-2.220446049250313e-14,380.97617016479904,12.385422728124308,717.2231085767702,111.57602117978192,373.44739477560347,10.164484330917368,733.8428269558253,116.47872697065726,104.09330424253295,488.9083333333333
rice,2011,338.990734667104,0.0,338.99073466710394,-2.220446049250313e-14,347.977707081285,2.6510967690625664,717.8191491384496,111.75184915993736,449.00018603425366,32.452052553938174,721.1449172153712,112.73292850424083,110.08183173517827,489.0525322283609
