crop,world_my_end_stock_ratio,world_my_end_stock_corr,world_dec_stock_ratio,world_cons_ratio,world_cons_corr,country_stock_ratio_median,country_dstock_sign_agree,country_dstock_n
wheat,1.015132021276779,0.9819639031504331,1.8359501911693197,0.925443862234511,-0.1706641538794785,0.4580037740956625,42,90
maize,1.021528169701986,0.24904535282574727,4.61605418630868,0.9304646673958707,-0.6695033082531827,1.6463216175319868,41,80
rice,1.0266806909749295,0.9259495854139639,1.6156422823321905,0.8666454348786296,-0.7498424485105005,1.0638987883107625,37,65
