year,month,year_frac,baseline,prod_anom,full_model,observed
2006,1,2006.0416666666667,98.32980156445424,106.1016949152542,96.82868177021085,83.81355932203385
2006,2,2006.125,133.25265266005792,106.1016949152542,98.83116967782225,85.67716563097721
2006,3,2006.2083333333333,115.73412275226781,106.1016949152542,108.12761108551875,88.76774045164993
2006,4,2006.2916666666665,117.20964240001953,106.1016949152542,120.80516534477998,88.35170408686653
2006,5,2006.3749999999998,127.63878181130318,106.1016949152542,126.52717706027052,93.6152347652205
2006,6,2006.458333333333,119.8409071155409,106.1016949152542,125.61021308262524,95.76271186440673
2006,7,2006.5416666666663,107.7636068733648,106.1016949152542,115.16036057682713,96.52542372881351
2006,8,2006.6249999999995,104.01108340812955,106.1016949152542,108.61603523593816,96.18579259727011
2006,9,2006.7083333333328,100.67796610169486,106.1016949152542,105.33898305084742,94.06779661016944
2006,10,2006.791666666666,94.1791263821446,106.1016949152542,101.54857089247601,100.5341270953919
2006,11,2006.8749999999993,89.78885986892709,106.1016949152542,98.96295082033981,105.48924560107469
2006,12,2006.9583333333326,93.92181314429823,106.1016949152542,102.82098597695008,102.89929463193927
2007,1,2007.0416666666658,95.92643218365319,111.54850855352267,107.60795051660254,99.4300074717624
2007,2,2007.124999999999,99.4620443116432,124.42786602003933,118.23708584204513,97.32086171556116
2007,3,2007.2083333333323,104.25892440887887,140.85218640801415,133.7514129140155,97.52073660807017
2007,4,2007.2916666666656,115.21957947676844,148.64046562185456,149.92989544095911,96.36377704218965
2007,5,2007.3749999999989,126.69491525423723,154.54030926825655,151.16102853461953,95.86332269422701
2007,6,2007.4583333333321,124.16932982288711,128.95466750777314,137.84721563875073,100.41253718022207
2007,7,2007.5416666666654,108.00487965495815,115.37829915571915,123.81465709443006,108.73649796609563
2007,8,2007.6249999999986,103.14234028674748,110.59097131684682,114.95695436773808,121.78640808335764
2007,9,2007.708333333332,99.58314016501907,107.39884028397663,111.21926858458897,141.66993204598722
2007,10,2007.7916666666652,95.88253455587278,103.89830508474572,107.18879792530493,158.8632281559915
2007,11,2007.8749999999984,91.30011090637579,100.1694915254237,104.50289244656975,157.3108696389022
2007,12,2007.9583333333317,92.82129593562611,104.60095695257526,108.42685915767646,164.26538454963165
2008,1,2008.041666666665,98.18428619407027,108.94699805847705,116.83725864488741,176.00150003784685
2008,2,2008.1249999999982,100.76271186440673,120.58029806252534,136.82456876223947,188.7682949625869
2008,3,2008.2083333333314,103.89448559903073,147.75574387372882,170.6563223493099,203.5567757100882
2008,4,2008.2916666666647,113.20440012887191,166.09089345851808,196.73249306985304,180.67796610169484
2008,5,2008.374999999998,123.64669248564077,167.073714599224,204.1693603015015,158.28672036177812
