crop,panel,year,psd_pct,model_pct,sign_agree
wheat,stock_change,2007,-0.8633671993420592,2.1187210168314357,0
wheat,stock_change,2008,6.374977977306481,4.549059918947422,1
wheat,stock_change,2009,5.200072128363651,6.808498977508712,1
wheat,stock_change,2010,-0.6469821083886574,-1.0530145280750354,1
wheat,stock_change,2011,0.07823392097598147,-0.004360267372412691,0
wheat,consumption_change,2007,-0.1137530687563475,-1.080559828783834,1
wheat,consumption_change,2008,0.5396584369701134,-0.14389099757864351,0
wheat,consumption_change,2009,0.339668928247877,0.9831423356685862,1
wheat,consumption_change,2010,0.06026189895353422,0.3039358875627678,1
wheat,consumption_change,2011,0.9026273477402127,-1.240220636981617,0
maize,stock_change,2007,2.038242516000866,-1.8251478530009215,0
maize,stock_change,2008,1.3117365872878046,8.1222582537833,1
maize,stock_change,2009,-0.56019142737733,0.8179569689544416,0
maize,stock_change,2010,-2.040820083918248,-0.10018723237834837,1
maize,stock_change,2011,0.9807032218985255,4.384548006085795,1
maize,consumption_change,2007,0.8175257728978881,-0.7973739013525147,0
maize,consumption_change,2008,0.2011084777004295,-0.401419123452213,0
maize,consumption_change,2009,0.5644114172274266,0.790894872449329,1
maize,consumption_change,2010,0.5411654526539181,-0.46331061080127756,0
maize,consumption_change,2011,0.27394985081313955,-0.4237883879451492,0
rice,stock_change,2007,1.3660527255665713,2.4615091186820166,1
rice,stock_change,2008,2.9135881024470716,4.820962053767118,1
rice,stock_change,2009,0.5706034814383726,0.44880218716120207,1
rice,stock_change,2010,1.2153142907836973,-0.20074768122246076,0
rice,stock_change,2011,2.2723188098776084,0.615864126457818,1
rice,consumption_change,2007,0.43928219893941,-0.9529345188112601,0
rice,consumption_change,2008,0.4815522535527685,-0.8694494371913911,0
rice,consumption_change,2009,-0.029215293039116786,0.3678832952245617,0
rice,consumption_change,2010,0.45818001912147616,-0.09852889042388298,0
rice,consumption_change,2011,0.593359969615951,0.08737361816604071,1
