crop,channel,d_p0,d_cann,d_safety,d_hseas_max,d_stock0_max,metric,published,padded,delta
wheat,recalibration,0.0,6.159595238095108,1.2319190476190442,0.4959336734693913,1.7234218679112807,,,,
maize,recalibration,0.0,9.993500000000154,1.5989600000000053,2.564928571428567,5.214792435296488,,,,
rice,recalibration,0.0,3.8085238095238765,0.685534285714283,0.1902215608465596,0.6164777065129243,,,,
wheat,truncation,,,,,,corr,0.7198612368258547,0.7276703226928436,0.0078090858669889185
wheat,truncation,,,,,,2007/08,2.2673764846341906,2.26695054799244,-0.00042593664175072377
wheat,truncation,,,,,,2010/11,1.4472676909253321,1.44597862527923,-0.0012890656461022054
maize,truncation,,,,,,corr,0.7115343015231028,0.7157491843532695,0.0042148828301666885
maize,truncation,,,,,,2007/08,1.9716551959162116,1.9839125444357382,0.012257348519526534
maize,truncation,,,,,,2010/11,1.698938753871961,1.7014625045880694,0.0025237507161084416
rice,truncation,,,,,,corr,0.6777409747204022,0.677947046721645,0.00020607200124278524
rice,truncation,,,,,,2007/08,1.7218949303223503,1.7220838648915908,0.00018893456924051755
rice,truncation,,,,,,2010/11,0.8204584882401206,0.8204259033187795,-3.258492134106117e-05
