crop,year,stock_start,stock_end,drift,free_mean
wheat,2006,226.1169322854016,262.88241326893217,36.76548098353058,101.85048651455027
wheat,2007,240.47116621698044,268.63858265621656,28.16741643923612,110.7478646909359
wheat,2008,246.19326510707472,271.292653171457,25.099388064382282,114.29580515349399
wheat,2009,248.82796119529942,272.6798989912897,23.851937795990267,116.12713424952027
wheat,2010,250.20496275130205,273.29993367420883,23.094970922906782,117.02001266657506
wheat,2011,250.82146905344575,267.6176977939367,16.79622874049096,169.912319478103
maize,2006,499.4435586475906,563.7596881757695,64.31612952817892,222.29821614016998
maize,2007,526.6110923453233,581.2478057821961,54.63671343687281,245.55785342190438
maize,2008,543.2034073058101,589.8875825880784,46.68417528226837,257.97994819008755
maize,2009,551.3649023469925,593.9216341415694,42.556731794576876,263.86974333894364
maize,2010,555.1707458592804,595.7676421712681,40.596896311987734,266.57661829060436
maize,2011,556.9164305330656,594.4083843882602,37.49195385519454,310.6546570602981
rice,2006,104.28075477940115,126.24393197375205,21.963177194350905,20.603796765178515
rice,2007,107.80955500659341,125.90854339694484,18.098988390351423,20.910935138919076
rice,2008,107.47794058948668,125.92574514241755,18.447804552930876,20.847214421089667
rice,2009,107.49385951336987,125.9324515013539,18.438591987984026,20.859086040978504
rice,2010,107.5000744783029,125.9348214235571,18.43474694525419,20.863469810099534
rice,2011,107.50227081013799,124.37500806749794,16.872737257359958,39.74965726549028
