version,crop,monotone,p0,s0,s5,s10,s20,s30,s50,s75,s100,s150
after the R0f fix,wheat,False,213.5463324652778,213.54633246527783,193.21981916940345,197.79605769643123,207.604880837371,218.25222863615687,242.4303267913429,280.7092939116913,333.8945958697143,458.8713462291267
after the R0f fix,maize,False,135.44442165709597,135.44442165709597,104.84970220269369,106.21459129951371,109.08520107476224,112.15576751053432,118.91939618927859,128.38614370109394,139.45390113889718,167.08308827256892
after the R0f fix,rice,True,338.990734667104,338.99073466710394,344.79098538548783,353.54493604540994,371.7068479594138,391.6061752247198,432.2691683010884,494.62434663975546,565.2870029562176,743.3079165717809
before the R0f fix,wheat,False,213.5463324652778,213.54633246527783,193.21981916940345,197.79605769643123,207.604880837371,218.25222863615687,242.4303267913429,280.7092939116913,333.8945958697143,481.2634555028696
before the R0f fix,maize,False,135.44442165709597,135.44442165709597,104.84970220269369,106.21459129951371,109.08520107476224,112.15576751053432,118.91939618927859,128.38614370109394,139.45390113889718,167.08308827256892
before the R0f fix,rice,True,338.990734667104,338.99073466710394,344.79098538548783,353.54493604540994,371.7068479594138,391.6061752247198,437.35826917770163,503.1063580470033,580.0759945757769,772.9185143355392
