crop,inv_eta,elast,flow_ref,flex_1pct,flex_2pct,flex_5pct,flex_10pct
wheat,1.0,-0.15,6.666666666666667,7.623360641519035,1.3967019754978347,-2.47323817657074,-4.242305916385321
maize,0.85,-0.25,4.0,24.188235452345577,10.713026842130434,2.5366953866665325,-0.2768846068818497
rice,0.95,-0.2,5.0,-4.18272779687053,-4.560414769891986,-4.73893705299199,-4.853438626161487
