crop,kind,n_neg,worst_F,twin_there,ratio_there,step,price_before,price_at,floor0,corr_pub,corr_fix,h07_pub,h07_fix,h10_pub,h10_fix,version,corr_2011,corr_2012,corr_2013,spread
wheat,mechanism,0.0,22.594229402169162,25.12766883027612,1.0872503224631487,4.0,201.99283273576924,198.8717430401989,6.442218333333336,,,,,,,,,,,
maize,mechanism,1.0,-15.183507393504101,207.09574192589048,35.103563199110766,22.0,95.49907849442158,393.94603899432104,6.517772,,,,,,,,,,,
rice,mechanism,33.0,-36.817679147482025,-36.78904394175095,1.0072998919188032,2.0,341.9962089074914,341.9320153562961,3.922689,,,,,,,,,,,
wheat,bounded_probe,,,,,,,,,0.7198612368258547,0.7198612368258547,2.2673764846341906,2.2673764846341906,1.4472676909253321,1.4472676909253321,,,,,
maize,bounded_probe,,,,,,,,,0.7115343015231028,0.7812815602497439,1.9716551959162116,2.2165966895143696,1.698938753871961,1.6149916286354156,,,,,
rice,bounded_probe,,,,,,,,,0.6777409747204022,0.7284605434607768,1.7218949303223503,2.3999600267980656,0.8204584882401206,1.1136835747954619,,,,,
wheat,fragility,,,,,,,,,,,,,,,published,0.7198612368258547,0.7193251294849982,0.7142699166013157,0.005591320224539009
wheat,fragility,,,,,,,,,,,,,,,bounded,0.7198612368258547,0.7185766320551689,0.7141511636262895,0.00571007319956518
maize,fragility,,,,,,,,,,,,,,,published,0.7115343015231028,0.2755776215147246,0.8324447706673131,0.5568671491525885
maize,fragility,,,,,,,,,,,,,,,bounded,0.7812815602497439,0.8182413933243708,0.8401122113310476,0.0588306510813037
rice,fragility,,,,,,,,,,,,,,,published,0.6777409747204022,0.6775903385536837,0.6780424972459914,0.00045215869230774697
rice,fragility,,,,,,,,,,,,,,,bounded,0.7284605434607768,0.7283900950084374,0.7275773883856043,0.0008831550751725592
