crop,kind,all,w0708,w1011,corr_cur,corr_fix,h07_cur,h07_fix,h10_cur,h10_fix,obs07,obs10
wheat,gap,0.008607848924926883,0.022373099291376125,0.017136644428698677,,,,,,,,
maize,gap,0.004094688376033015,0.018998927407330474,0.012173029626825494,,,,,,,,
rice,gap,0.03241023679256301,0.03897376907763036,0.02066700083587149,,,,,,,,
wheat,score,,,,0.7276078137259876,0.6871963698005545,2.2836110438142887,2.086534098791583,1.4529876249647522,1.3141872908546142,1.8165638656251262,1.1590269664976314
maize,score,,,,0.7780537067430627,0.7921112767257182,2.2029163727926697,2.052576960050763,1.5921039407895334,1.5152893790028277,1.836259971402727,1.4418926403601735
rice,score,,,,0.6783563866631985,0.6757655371214287,1.721259593314591,1.5434381597067155,0.8205200939912837,0.8445853735249156,1.83714665456457,0.7931662874839874
