year,scenario,production,consumption,exports,ending_stocks,S_producer,S_consumer,wm_price_index_mean
2000,undisturbed,631.3500998,646.1383722999999,114.72467470000001,333.32101439999997,198.3449786,134.97603579999998,1.0321096851825178
2001,undisturbed,631.3500998,635.9587482000001,121.80417290000001,326.8819099,192.30208670000002,134.5798232,1.076081315288705
2002,undisturbed,631.3500998,633.5917145999999,124.0811764,324.6422529,190.2598661,134.3823868,1.1098317711852799
2003,undisturbed,631.3500998,632.4676099000001,120.65516070000001,323.59788879999996,189.05497399999996,134.5429148,1.1068303536728437
2004,undisturbed,631.3500998,631.671117,124.3461277,323.41394770000005,188.79302790000003,134.6209198,1.1176521417905307
2005,undisturbed,631.3500998,630.2912076000001,122.4025479,324.5238584,189.77353109999996,134.7503273,1.1084535879245612
2006,undisturbed,631.3500998,631.6670090000001,124.3054435,324.05597670000003,189.543394,134.51258270000002,1.1136842272796146
2007,undisturbed,631.3500998,631.9726268,121.13130890000001,323.4627143,188.88420059999999,134.57851369999997,1.1083749271018737
2008,undisturbed,631.3500998,631.9268906000001,124.54672450000001,322.7882533,188.4170819,134.37117140000004,1.1198055823941033
2009,undisturbed,631.3500998,631.5589080000001,121.9884134,322.6800686,188.1537697,134.5262989,1.1178991731715127
2010,undisturbed,631.3500998,631.587578,124.4254423,322.3025952,187.9520327,134.3505625,1.1216272095165951
2011,undisturbed,631.3500998,631.4512569999999,121.8434299,322.31761779999994,187.7846499,134.53296789999996,1.1178706679324628
2012,undisturbed,631.3500998,629.8692672000001,126.11941070000002,323.59254919999995,187.82567779999997,135.76687139999999,1.1231114704846041
2000,harvest,631.3572172,646.1332830999999,114.74020180000001,333.3334957,198.36190860000002,134.9715871,1.0320835862640478
2001,harvest,631.3572128000001,635.9868711,121.66382430000002,326.9101484,192.33804010000003,134.5721083,1.0752697255194115
2002,harvest,631.3572128000001,633.5737250000001,124.1693039,324.63132780000007,190.25107860000003,134.38024920000004,1.1103933941230282
2003,harvest,631.3572128000001,632.4239765,120.80344690000001,323.69561050000004,189.1329053,134.5627052,1.1081382247696414
2004,harvest,631.3586582,632.196514,124.23121800000001,322.6820664,188.36144620000002,134.3206202,1.1168259195503796
2005,harvest,623.2342326999999,627.2568095,119.8934099,318.8443241,185.37937409999998,133.46495000000002,1.1224406545359642
2006,harvest,596.9421460000001,622.8910693000001,127.6632704,292.4655466,160.2074064,132.25814019999996,1.1819103295908262
2007,harvest,599.2462316000001,615.1986961000001,120.2730352,278.98887360000003,145.32975080000003,133.6591228,1.2961983324985693
2008,harvest,660.9268439,611.8338616,131.7114429,327.77449490000004,194.1888691,133.5856258,1.275232563926503
2009,harvest,651.8634082,630.5064783,129.2504915,347.88372439999995,215.79235089999997,132.0913735,1.075357396872978
2010,harvest,598.5452831,633.0203002000001,115.2746159,314.6193251,182.16767729999998,132.45164780000002,1.0551756989571561
2011,harvest,638.4436684000001,625.6674157,124.5104035,327.35544120000003,193.0970515,134.2583897,1.1300964035887355
2012,harvest,603.8145528000001,633.8740508,128.1729224,295.0672033000001,161.25163250000003,133.8155708,1.1234119841723944
2000,harvest_amis,631.3572172,646.1332830999999,114.74020180000001,333.3334957,198.36190860000002,134.9715871,1.0320835862640478
2001,harvest_amis,631.3572128000001,635.9868711,121.66382430000002,326.9101484,192.33804010000003,134.5721083,1.0752697255194115
2002,harvest_amis,631.3572128000001,633.5737250000001,124.1693039,324.63132780000007,190.25107860000003,134.38024920000004,1.1103933941230282
2003,harvest_amis,631.3572128000001,632.4239765,120.80344690000001,323.69561050000004,189.1329053,134.5627052,1.1081382247696414
2004,harvest_amis,631.3586582,632.196514,124.23121800000001,322.6820664,188.36144620000002,134.3206202,1.1168259195503796
2005,harvest_amis,623.2342326999999,627.2568095,119.8934099,318.8443241,185.37937409999998,133.46495000000002,1.1224406545359642
2006,harvest_amis,596.9421460000001,622.8910693000001,127.6632704,292.4655466,160.2074064,132.25814019999996,1.1819103295908262
2007,harvest_amis,599.2462316000001,612.7282349000001,123.67496070000001,282.64052060000006,148.43996260000003,134.20055800000003,1.325523472015903
2008,harvest_amis,660.9268439,608.2490473,146.5131249,336.76754969999996,203.36469520000003,133.40285449999996,1.4226216820454436
2009,harvest_amis,651.8634082,620.3050964,145.23703070000002,363.64465850000005,228.67786380000004,134.9667947,1.1772609544859403
2010,harvest_amis,598.5452831,631.6276515,119.4667246,332.3894663,199.2884067,133.1010596,1.1188757393981013
2011,harvest_amis,638.4436684000001,625.5469409000001,129.911121,344.24864399999996,209.7651726,134.4834714,1.2144897473493192
2012,harvest_amis,603.8145528000001,638.8617282,129.0834202,306.9368978,173.25158,133.68531779999998,1.0873451934066323
