scenario,file,α,regions,N_del,foreign_market,simulation_begin,α_domestic,pol_opt,α_adj,A_c_star,simulation_end,τ_exp,τ_a,rationing,gitcommit,script,N_for,storage_hold_back,ε_c,start,τ_for,σ,equal_constraint,A_d_star,optimization_tol,λ,N_year,unique_market_constraint,δ,p_sto,ε_d_foreign,ι,ε_d,ρ,τ,baseline_tol,pl_opt,pol_exp_p,equal_domestic_sales,pol_hor,ζ,market_constraint,α_foreign,N_hor,two_markets,β,production_anomalies,crops,switch_preference,τ_P,pol_sales,flow_cutoff,baseline,ε_d_adjust,export_restrictions,extra_regions,ε_d_domestic,initialization_tol,production_cutoff,ψ,n_regions,n_steps,region_list
undisturbed,agrimate_baseline=2007-2009_extra_regions=(Egypt=EGY)_regions=AgrimateEU28_start=2000-01-01.nc,3.0,AgrimateEU28,2,false,2024-02-21T15:30:21.466,1.0,true,true,empirical,2024-02-21T15:32:10.463,0.5,0.2,proportional,old-demand-dynamics-150-gbfc02cb-dirty,../../../data/input/agrimate/original/scenarios/food_crisis.jl#362,6,0.0,0.1,2000-01-01,0.2,2.0,false,empirical,0.0001,0.0,24,true,0.0,0.1,0.2857142857142857,0.001,0.3333333333333333,0.0,0.1,0.0001,false,true,false,true,1.0,true,3.5,24,true,0.05,nothing,wheat,expectation,0.2,true,0.01,2007-2009,false,nothing,"Dict{String, Any}(""Egypt"" => ""EGY"")",1.0,0.01,0.0,empirical,27,312,USA|Ukraine|Argentina|Eastern Africa|Central America|Middle Africa|Rest of Eastern Asia|Rest of South America|Northern Africa|Rest of Southern Asia|Kazakhstan|South-Eastern Asia|India|EU-28|Canada|Rest of Europe|Rest of Western Asia|Pakistan|Russia|Western Africa|Rest of Central Asia|Egypt|Southern Africa|China|Australia|Turkey|Rest of Oceania
harvest,agrimate_baseline=2007-2009_extra_regions=(Egypt=EGY)_production_anomalies=FAOsince-2005_regions=AgrimateEU28_start=2000-01-01.nc,3.0,AgrimateEU28,2,false,2024-02-21T15:32:12.454,1.0,true,true,empirical,2024-02-21T15:33:15.095,0.5,0.2,proportional,old-demand-dynamics-150-gbfc02cb-dirty,../../../data/input/agrimate/original/scenarios/food_crisis.jl#362,6,0.0,0.1,2000-01-01,0.2,2.0,false,empirical,0.0001,0.0,24,true,0.0,0.1,0.2857142857142857,0.001,0.3333333333333333,0.0,0.1,0.0001,false,true,false,true,1.0,true,3.5,24,true,0.05,FAOsince-2005,wheat,expectation,0.2,true,0.01,2007-2009,false,nothing,"Dict{String, Any}(""Egypt"" => ""EGY"")",1.0,0.01,0.0,empirical,27,312,USA|Ukraine|Argentina|Eastern Africa|Central America|Middle Africa|Rest of Eastern Asia|Rest of South America|Northern Africa|Rest of Southern Asia|Kazakhstan|South-Eastern Asia|India|EU-28|Canada|Rest of Europe|Rest of Western Asia|Pakistan|Russia|Western Africa|Rest of Central Asia|Egypt|Southern Africa|China|Australia|Turkey|Rest of Oceania
harvest_amis,agrimate_baseline=2007-2009_export_restrictions=2007-2011_extra_regions=(Egypt=EGY)_production_anomalies=FAOsince-2005_regions=AgrimateEU28_start=2000-01-01.nc,3.0,AgrimateEU28,2,false,2024-02-21T15:33:16.614,1.0,true,true,empirical,2024-02-21T15:34:19.097,0.5,0.2,proportional,old-demand-dynamics-150-gbfc02cb-dirty,../../../data/input/agrimate/original/scenarios/food_crisis.jl#362,6,0.0,0.1,2000-01-01,0.2,2.0,false,empirical,0.0001,0.0,24,true,0.0,0.1,0.2857142857142857,0.001,0.3333333333333333,0.0,0.1,0.0001,false,true,false,true,1.0,true,3.5,24,true,0.05,FAOsince-2005,wheat,expectation,0.2,true,0.01,2007-2009,false,2007-2011,"Dict{String, Any}(""Egypt"" => ""EGY"")",1.0,0.01,0.0,empirical,27,312,USA|Ukraine|Argentina|Eastern Africa|Central America|Middle Africa|Rest of Eastern Asia|Rest of South America|Northern Africa|Rest of Southern Asia|Kazakhstan|South-Eastern Asia|India|EU-28|Canada|Rest of Europe|Rest of Western Asia|Pakistan|Russia|Western Africa|Rest of Central Asia|Egypt|Southern Africa|China|Australia|Turkey|Rest of Oceania
