year,month,scenario,wm_price_index,harvest_mmt,consumption_mmt,producer_storage_mmt,consumer_storage_mmt,sales_foreign_mmt
2000,1,undisturbed,1.0105263849589197,6.839719500000001,52.7536978,163.53941579999997,134.69637749999998,9.598146199999999
2000,2,undisturbed,1.0263442873881203,14.9923101,52.7002332,124.5979874,134.55183000000002,9.475164600000001
2000,3,undisturbed,1.037887200385516,45.2927046,53.0124096,109.45335769999998,135.4731582,10.043885799999998
2000,4,undisturbed,1.0546368619365174,27.736212800000004,54.8990537,79.38144260000001,141.01143909999996,10.020863900000002
2000,5,undisturbed,1.0959825121750104,64.9842302,55.9171858,88.0587139,142.902381,8.9298896
2000,6,undisturbed,1.089539044655793,112.63211310000001,55.99800420000001,148.83137589999995,143.21133570000003,7.05897
2000,7,undisturbed,1.0377102678803203,152.55086189999997,55.7720441,246.57587879999997,139.29874309999997,9.488221900000001
2000,8,undisturbed,1.021265941650036,120.1298433,55.722004700000014,314.5863178,138.3830973,9.057263500000001
2000,9,undisturbed,1.0296048006907375,42.616715799999994,55.01017390000001,305.6376633999999,135.49232759999998,8.6355222
2000,10,undisturbed,1.0033368532913034,14.5676563,53.349967400000004,269.01920699999994,133.70773000000005,8.6867202
2000,11,undisturbed,0.9759464550422,14.2156014,51.10763499999999,232.14901809999998,133.7862082,11.9806944
2000,12,undisturbed,0.9966852953293804,14.7921308,49.8959629,198.3449786,134.9760358,11.7493324
2001,1,undisturbed,1.0341572966314099,6.839719500000001,50.075175400000006,155.2393618,133.4970305,13.305467100000001
2001,2,undisturbed,1.0418632458120425,14.9923101,50.215073700000005,116.5730836,133.22729369999996,9.940747700000003
2001,3,undisturbed,1.0696375904340085,45.2927046,51.14319929999999,101.85484560000002,135.7426828,11.136919000000002
2001,4,undisturbed,1.1093667584472848,27.736212800000004,53.461721,74.1547932,142.29190420000003,10.6288236
2001,5,undisturbed,1.1956703996541103,64.9842302,54.7531823,83.68125959999999,142.97498670000002,9.068083300000001
2001,6,undisturbed,1.1859199187302385,112.63211310000001,55.0285439,144.7092126,143.40420669999997,7.2670566999999995
2001,7,undisturbed,1.1082358530476104,152.55086189999997,55.03105540000001,242.86417439999997,139.97731140000005,9.338308800000002
2001,8,undisturbed,1.0694197776923595,120.1298433,55.33089130000001,311.58292270000004,139.0423207,9.0048363
2001,9,undisturbed,1.060162683777776,42.616715799999994,55.050460999999984,303.13817079999995,135.402955,8.762633800000001
2001,10,undisturbed,1.0247011354760218,14.5676563,53.7490784,266.21191849999997,132.7153439,8.459473899999999
2001,11,undisturbed,0.9881882030346797,14.2156014,51.9247414,227.93658299999998,132.2845113,11.3642435
2001,12,undisturbed,1.0184236576807078,14.7921308,50.1956251,192.30208670000002,134.57982320000002,13.5275792
2002,1,undisturbed,1.058714050371037,6.839719500000001,50.227978699999994,150.81351169999996,134.77847139999997,11.722998400000002
2002,2,undisturbed,1.0608287657249467,14.9923101,50.0318994,112.4076793,133.07486659999998,9.864429099999999
2002,3,undisturbed,1.092715320880762,45.2927046,51.00883160000001,98.1789624,135.4641773,11.0957805
2002,4,undisturbed,1.1470285097403374,27.736212800000004,53.33167870000001,68.54223390000001,141.65391989999998,14.5284705
2002,5,undisturbed,1.2893232825089394,64.9842302,54.5917403,81.3194967,144.43512080000002,8.306438
2002,6,undisturbed,1.2467805099302962,112.63211310000001,54.790868200000006,142.21714220000004,141.85122059999995,7.6041334
2002,7,undisturbed,1.1445902400481311,152.55086189999997,54.7891825,240.1492698,138.7965054,9.4229062
2002,8,undisturbed,1.1087489066344485,120.1298433,55.065850400000016,308.91783950000007,138.34938889999998,9.1279679
2002,9,undisturbed,1.1026194955508477,42.616715799999994,54.5315093,301.23392049999995,135.1791531,8.5493253
2002,10,undisturbed,1.0408967544057295,14.5676563,53.45693800000001,264.39994909999996,132.02284910000003,8.4942286
2002,11,undisturbed,0.9960348530365853,14.2156014,51.736251700000004,225.8924033,131.68822530000003,11.7321853
2002,12,undisturbed,1.0265996879971941,14.7921308,50.028985799999994,190.25986609999998,134.38238679999998,13.632313200000002
2003,1,undisturbed,1.069417177811176,6.839719500000001,50.07040880000001,148.93758730000002,134.7366457,11.723511300000002
2003,2,undisturbed,1.0756870503286873,14.9923101,49.87056270000001,110.7166875,133.02808180000002,9.9223115
2003,3,undisturbed,1.113061864884664,45.2927046,50.844865199999994,96.6633391,135.39642660000004,11.1834759
2003,4,undisturbed,1.167189623634437,27.736212800000004,53.1591858,69.724304,141.5832934,10.868757900000002
2003,5,undisturbed,1.2929589597363125,64.9842302,54.40962880000001,80.7448682,141.84891280000002,8.988103599999999
2003,6,undisturbed,1.2288373214822788,112.63211310000001,54.57550549999999,141.66998019999997,141.23707259999998,7.2931347
2003,7,undisturbed,1.122248484294576,152.55086189999997,54.6354357,239.21971229999997,138.30863810000002,9.4534731
2003,8,undisturbed,1.082323809430866,120.1298433,55.0221578,307.91770249999996,138.2876109,8.9404131
2003,9,undisturbed,1.0734362812494391,42.616715799999994,54.53590249999999,299.71706509999996,135.18356119999999,8.593718800000001
2003,10,undisturbed,1.032790224793017,14.5676563,53.495806800000004,262.8292077,132.50510739999999,8.5901821
2003,11,undisturbed,0.991561329829191,14.2156014,51.78057349999999,224.61436519999998,132.1800476,11.5083233
2003,12,undisturbed,1.0215547626536454,14.7921308,50.0675768,189.054974,134.5429148,13.589755400000001
2004,1,undisturbed,1.0632491532346546,6.839719500000001,50.10684260000001,147.71248989999998,134.78759409999998,11.732507400000001
2004,2,undisturbed,1.068653954873737,14.9923101,49.910463100000015,109.45222380000003,133.0593346,9.9130964
2004,3,undisturbed,1.10367134873439,45.2927046,50.8868052,95.37180850000001,135.42510590000003,11.1662818
2004,4,undisturbed,1.164076614691729,27.736212800000004,53.20153859999999,66.4710835,141.5966875,14.6128632
2004,5,undisturbed,1.3126201859168283,64.9842302,54.4359949,79.975746,143.7976307,8.1339816
2004,6,undisturbed,1.2661199660626432,112.63211310000001,54.5709968,140.70532680000005,140.70620140000003,7.6863376
2004,7,undisturbed,1.1504531206593893,152.55086189999997,54.59571369999999,238.24763069999997,138.01302040000002,9.435884900000001
2004,8,undisturbed,1.112228317871945,120.1298433,54.966759999999994,306.9384195,138.0548187,9.0872169
2004,9,undisturbed,1.1035869622300678,42.616715799999994,54.457854100000006,299.3109654,135.0360188,8.6004019
2004,10,undisturbed,1.0404332292216818,14.5676563,53.2784701,262.49390220000004,132.00171819999997,8.574191900000002
2004,11,undisturbed,0.996831167700879,14.2156014,51.47192909999998,224.21534390000002,131.91450899999998,11.7439135
2004,12,undisturbed,1.027576591906608,14.7921308,49.787748799999996,188.79302790000003,134.6209198,13.6594506
2005,1,undisturbed,1.0699075214734546,6.839719500000001,49.8442338,147.71747440000001,134.9911329,11.7269323
2005,2,undisturbed,1.0759955718524763,14.9923101,49.6510794,109.717747,133.25532690000003,9.956782500000003
2005,3,undisturbed,1.1135064280172882,45.2927046,50.63254440000001,95.89787570000001,135.61482049999998,11.217884600000001
2005,4,undisturbed,1.1710324037501365,27.736212800000004,52.950850200000005,68.5981305,141.7765461,11.9636372
2005,5,undisturbed,1.3210522611858184,64.9842302,54.1958873,81.01667909999999,142.6166169,8.688226799999999
2005,6,undisturbed,1.2439167168103906,112.63211310000001,54.314565599999995,141.9511815,140.8677328,7.5566122
2005,7,undisturbed,1.124626868735807,152.55086189999997,54.405823,239.41479840000002,138.1595203,9.6948337
2005,8,undisturbed,1.073898441200149,120.1298433,54.86187580000001,308.13388640000005,138.3848897,9.110528500000001
2005,9,undisturbed,1.0599046179671407,42.616715799999994,54.3954108,299.8777524000001,135.4002338,8.8851017
2005,10,undisturbed,1.0264326930357484,14.5676563,53.3823574,263.0685945,132.8907259,8.6943841
2005,11,undisturbed,0.9925024368261529,14.2156014,51.68627030000001,225.14482860000004,132.5812698,11.385510700000001
2005,12,undisturbed,1.021934396765275,14.7921308,49.97030959999999,189.77353109999996,134.75032730000004,13.5221136
2006,1,undisturbed,1.0628780783999152,6.839719500000001,50.011694500000004,148.5123061,134.9020613,11.7492678
2006,2,undisturbed,1.0671306749565654,14.9923101,49.82622219999999,110.3266703,133.17678350000003,9.9084452
2006,3,undisturbed,1.1011175079962927,45.2927046,50.8063033,96.3285012,135.54842649999998,11.15867
2006,4,undisturbed,1.157793292015692,27.736212800000004,53.127301200000005,66.95525319999999,141.71199909999999,14.5354218
2006,5,undisturbed,1.3062736009974727,64.9842302,54.371888000000006,80.9150182,144.44957200000002,8.208346
2006,6,undisturbed,1.2576355330584341,112.63211310000001,54.5125884,141.8691945,140.96144890000002,7.6944658000000015
2006,7,undisturbed,1.149125075320356,152.55086189999997,54.5560727,239.47102580000004,138.0833129,9.413258900000002
2006,8,undisturbed,1.1004970417431266,120.1298433,54.9440764,308.1182943,138.08826720000005,9.137302700000001
2006,9,undisturbed,1.0952610570217851,42.616715799999994,54.447984200000015,300.1555821,135.12285749999998,8.6155428
2006,10,undisturbed,1.039559716170274,14.5676563,53.398220200000004,263.3482472,132.3040648,8.594202300000001
2006,11,undisturbed,0.9961800826260017,14.2156014,51.684780900000014,225.0656645,131.99427529999997,11.6712653
2006,12,undisturbed,1.0268651495112602,14.7921308,49.979877000000016,189.54339399999998,134.5125827,13.619254900000001
2007,1,undisturbed,1.0694673954066072,6.839719500000001,50.0239405,148.29742119999997,134.8030436,11.722489399999999
2007,2,undisturbed,1.0761612549223611,14.9923101,49.825214,110.12815730000001,133.0635214,9.9240229
2007,3,undisturbed,1.1135381482287865,45.2927046,50.80170570000001,96.14240870000002,135.42338969999997,11.198085800000001
2007,4,undisturbed,1.1678995776656307,27.736212800000004,53.11236589999999,69.2175737,141.58947720000003,10.8320565
2007,5,undisturbed,1.2972764419784952,64.9842302,54.3560284,80.64597869999999,141.8944964,9.0583093
2007,6,undisturbed,1.240683321906896,112.63211310000001,54.4908785,141.5982654,140.9594433,7.4224069
2007,7,undisturbed,1.1287364439615535,152.55086189999997,54.565586200000006,239.0249062,138.07368390000005,9.570789599999998
2007,8,undisturbed,1.0804473045428056,120.1298433,54.982287400000004,307.59629090000004,138.21561780000005,9.094917500000001
2007,9,undisturbed,1.0700099191291754,42.616715799999994,54.511859400000006,299.3177363,135.26221700000002,8.736377000000001
2007,10,undisturbed,1.0321760179864592,14.5676563,53.480644600000005,262.5204206000001,132.67684240000003,8.545805099999999
2007,11,undisturbed,0.9924228552069434,14.2156014,51.76852869999999,224.3772067,132.2732857,11.482656499999997
2007,12,undisturbed,1.0227907303416834,14.7921308,50.05358749999999,188.8842006,134.57851369999997,13.543392399999998
2008,1,undisturbed,1.0642548676747965,6.839719500000001,50.08666600000001,147.5340184,134.7769846,11.754004000000002
2008,2,undisturbed,1.0679133608158409,14.9923101,49.8943685,109.2956907,133.0725182,9.9319661
2008,3,undisturbed,1.1037340778369653,45.2927046,50.86553119999999,95.2470777,135.43762460000005,11.1507223
