crop,variant,corr,h0708,h1011,obs_h0708,obs_h1011,abs_err_sum,mean_price,residual_share,mean_rationing_pct,runtime_s
wheat,U0_shipped,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.82,1.16,0.7346441755595228,342.0601402372471,0.12205422990838213,1.840843984600532,0.014407332986593246
wheat,U1_source_reweight_g1.25,0.7219419058905869,2.2651769358559855,1.4527297541536799,1.82,1.16,0.7379066900096654,340.8909881233724,0.11931098395896378,1.8119800555410939,0.014957499981392175
wheat,U1_source_reweight_g0.5,0.7207823647093972,2.2682118626095713,1.4517235726283004,1.82,1.16,0.7399354352378718,341.57440647241987,0.12089001403468011,1.8287829028386131,0.014355375024024397
wheat,U1_source_reweight_g3.0,0.724203605591978,2.255670782119697,1.4588056367842834,1.82,1.16,0.7344764189039803,340.10100885560377,0.11583454504203727,1.7764923432669395,0.014892124978359789
wheat,U2_unmet_twosided,0.7389598990856038,2.255181075351418,1.7745293967441826,1.82,1.16,1.0497104720956005,322.37379766424715,0.1315425737695165,1.9630047121111396,0.013961500022560358
wheat,U1+U2,0.7351843904993034,2.252143333848279,1.8473029702040515,1.82,1.16,1.1194463040523306,321.82740104292253,0.1292376166220088,1.9433515867936488,0.01498887495836243
wheat,U3_tat_traded_k0.05,0.379443770287312,3.7587469732471215,2.912188802871089,1.82,1.16,3.6909357761182107,261.61755279013073,0.19659548830099977,3.8321386316591557,0.014196667005307972
wheat,U3_tat_imbalance_k0.05,0.7204448401053178,2.258213016595197,1.5109349072498284,1.82,1.16,0.7891479238450252,323.3857844557981,0.12821452971562056,1.9414967681838806,0.013808624993544072
wheat,U3_tat_imbalance_k0.15,0.685021061256555,2.250315610737354,1.7740525562645126,1.82,1.16,1.0443681670018667,295.8830207980088,0.14457008205826352,2.350672426867817,0.01382366701727733
wheat,U3_tat_imbalance_k0.40,0.4203335568627133,2.4186934149245967,2.5250511169556646,1.82,1.16,1.9637445318802613,270.12001682703783,0.1744816888389533,3.1998892640796828,0.013675375026650727
maize,U0_shipped,0.7115343015231028,1.9716551959162116,1.698938753871961,1.84,1.44,0.3905939497881725,207.842460889847,0.03589169202026834,0.17505585528105674,0.013735332991927862
maize,U1_source_reweight_g1.25,0.7113220129389266,1.9667509103349456,1.6392828800508215,1.84,1.44,0.3260337903857671,204.6905651121429,0.03415218289303643,0.17232823235681635,0.015038832963909954
maize,U1_source_reweight_g0.5,0.7101190756046444,1.969377685303861,1.6812616310335162,1.84,1.44,0.3706393163373771,206.70497788231043,0.03508781913820461,0.1738541901324597,0.01434350002091378
maize,U1_source_reweight_g3.0,0.7144241545524334,1.969046393181061,1.5493840382063695,1.84,1.44,0.23843043138743036,199.7592450340896,0.0325246787117548,0.16902572267912183,0.015147999976761639
maize,U2_unmet_twosided,0.6911682528736023,1.9503945343481497,1.7605228606731451,1.84,1.44,0.4309173950212948,206.48444542801766,0.037280651144640936,0.17771324188448429,0.014403791981749237
maize,U1+U2,0.6914206314247817,1.9377134839868413,1.6941740664581504,1.84,1.44,0.35188755044499165,203.12033948015485,0.035590249535560586,0.17889052407032652,0.01495620800415054
maize,U3_tat_traded_k0.05,0.19923337121983958,2.277753889553278,1.8889517275087384,1.84,1.44,0.8867056170620162,183.89613376936637,0.13157129316126012,1.075483166633693,0.014163374959025532
maize,U3_tat_imbalance_k0.05,0.6327723564634812,1.991646142114072,1.593997394613398,1.84,1.44,0.30564353672747013,200.15720608789618,0.04281791198833991,0.22033610236737994,0.014866042009089142
maize,U3_tat_imbalance_k0.15,0.46582823389843736,1.9927449608502408,1.1963416241791498,1.84,1.44,0.39640333667109084,186.8782639520435,0.06132233522237136,0.31896740884392055,0.014328292047139257
maize,U3_tat_imbalance_k0.40,0.14590481550894716,1.6468163575654813,1.3988139793890375,1.84,1.44,0.23436966304548124,170.8955433105289,0.12187915607829174,0.9860147986514901,0.013607917004264891
rice,U0_shipped,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.84,0.79,0.14856355791777032,640.8274338835955,0.47425202982508985,3.2542353638210453,0.017927708046045154
rice,U1_source_reweight_g1.25,0.6782901674481708,1.7215715040521486,0.8205900743410807,1.84,0.79,0.14901857028893206,640.728894417758,0.47822830028759106,3.252593799079913,0.025394666008651257
rice,U1_source_reweight_g0.5,0.6779697471372728,1.721724922311494,0.8205201286313564,1.84,0.79,0.14879520631986232,640.7865145022911,0.47583991375649154,3.2537772342189375,0.01666858297539875
rice,U1_source_reweight_g3.0,0.6787594325620963,1.721574622429158,0.8207189353467498,1.84,0.79,0.1491443129175919,640.7200608336237,0.48338541947629915,3.2510695034926664,0.01477379200514406
rice,U2_unmet_twosided,0.6909402831618795,1.7102576791200632,0.8162085988021438,1.84,0.79,0.15595091968208064,628.5199858533872,0.47581652974363225,3.296213668053391,0.013483042013831437
rice,U1+U2,0.6924141499460802,1.7081796414612367,0.8158379127800441,1.84,0.79,0.1576582713188075,628.2158591277844,0.479819966420954,3.297364722153199,0.024954292050097138
rice,U3_tat_traded_k0.05,0.1381625867776224,2.096706018529059,0.9265148042680857,1.84,0.79,0.39322082279714454,567.4148098547448,0.5157369053338833,4.880174585601333,0.03676479199202731
rice,U3_tat_imbalance_k0.05,0.7038169869401943,1.71163366259602,0.8403036654830164,1.84,0.79,0.17867000288699642,638.6230770828968,0.4724677119400169,3.1827188525581556,0.019696167029906064
rice,U3_tat_imbalance_k0.15,0.7278973751611822,1.7285116983239899,0.8846703121861954,1.84,0.79,0.20615861386220558,634.9153787285348,0.4687831198179354,3.046659492040003,0.01460366602987051
