object,per_solve_s,per_144_step_run_s,x_gate0_run,one_scored_crop_s,three_crops_four_legs_s,gate2_ibr_13x3_s
"annual SPE QP, 3 commodities, n=18",0.0316041718760971,4.551000750157982,313.798188091255,10.619001750368625,127.4280210044235,414.1410682643764
"annual SPE QP, 1 commodity, n=18",0.02037185937660979,2.93354775023181,202.27242737104888,6.84494475054089,82.13933700649068,266.9528452710947
"Gate 0 shipped map, 144 steps, n=18",0.00010071495972725744,0.01450295420072507,1.0,0.0338402264683585,0.406082717620302,1.3197688322659815
