crop,variant,s,resp_shortfall_pct,resp_surplus_pct,asym_ratio,drawdown_base,drawdown_surplus,drawdown_shortfall,free_surplus,free_base,free_shortfall,ratio_surplus,ratio_shortfall,p_trade_surplus,p_trade_shortfall
wheat,shipped,0.1,70.15555862517988,-33.33954575571033,1.3106448197115574,0.9064670230454671,1.6103929816187283,0.4942059779491097,149.07316553140697,118.43849229070814,98.65610878079836,0.8562798900542724,1.54018696866086,101.17597574894098,279.74039184558495
wheat,unmet_twosided,0.1,69.86193664016783,-34.686062500596535,1.2438019882032207,0.9062432805414149,1.5612040359845756,0.4930923110446193,144.97931167151458,118.41738964025372,98.5661453014502,0.8911376536575965,1.544783138210347,100.66239793928064,279.4872532559762
wheat,no_drawdown,0.1,81.45928584678208,-34.17253349701406,1.4250516149330619,0.0,0.0,0.0,197.57054487972948,121.52855412950203,97.90108952813927,0.6117559726937748,1.509299796359917,96.39318167749491,249.11452375170597
wheat,twosided+no_drawdn,0.1,82.52371774505232,-39.635644969621275,1.1920444271575592,0.0,0.0,0.0,167.508762566033,119.9592232694633,97.78716853729786,0.7337779941910602,1.5144615213974397,96.24249758817928,248.85193706266708
maize,shipped,0.1,38.8112084247106,-21.551282246932125,1.351095030589283,1.7817110780099454,3.0234579764339755,0.9753130373528928,252.65417667018656,206.26323077255543,171.56969448177577,1.1257052611982308,1.721826385862178,61.77010418235281,110.0900057191996
maize,unmet_twosided,0.1,38.82659808261724,-21.696276954463332,1.341328528052844,1.781094176853582,3.008075678959267,0.9753130373528928,252.07225549459858,206.23274289403162,171.56969448177577,1.1285374799794763,1.721826385862178,61.71712560468753,110.0900057191996
maize,no_drawdown,0.1,48.95342396779445,-19.787503044098077,1.8071655156723725,0.0,0.0,0.0,414.1070480770001,266.3798288267156,190.2776054256318,0.6569248962924691,1.5009527545983306,61.00590038947078,94.81254270749044
maize,twosided+no_drawdn,0.1,49.209525195148096,-19.84551766178034,1.8090204356020918,0.0,0.0,0.0,410.8162573355756,265.35027530431404,190.1306693470959,0.6624790228140213,1.502513243570195,61.011500045606795,94.86089662571953
rice,shipped,0.1,72.76170836910778,-35.15950049432579,1.2619871698258915,1.637139325038424,2.03547758453027,1.3772396112303718,31.838044192732426,25.30872533445235,21.725720424893336,0.8230236284411122,1.4323279327813303,196.01583970556143,600.3836286746312
rice,unmet_twosided,0.1,72.35473974292827,-35.4666777897782,1.2429199439343315,1.6364266609224793,2.0266125455210506,1.3717995389843607,31.55161585549426,25.299705260545384,21.621353726098743,0.8622068079489354,1.4500146486292713,194.84884377342516,600.6663816316226
rice,no_drawdown,0.1,64.81975830506055,-29.148553394814027,1.450099696024154,0.0,0.0,0.0,51.12476055886308,31.6176934921582,22.789302635089808,0.4890066111614095,0.9563189003607966,152.7127729558336,352.21150146873225
rice,twosided+no_drawdn,0.1,65.18840860571574,-30.511500412154035,1.3788577101189494,0.0,0.0,0.0,47.48814345476148,31.101760886396775,22.761382532353167,0.5241200538293099,0.9576979992507849,150.88785244174605,351.9944441575987
