crop,episode,steps,world_trade_MMT,network_MMT,residual_MMT,residual_share,residual_share_step_mean,residual_share_step_max,exporter_side_binding_share,trade_over_world_demand
wheat,all,144,523.3824871930935,459.5014407712069,63.88104642188671,0.12205422990838213,0.16111397936192398,0.9903421698978482,0.07896766446499345,0.5808623188665318
wheat,2007/08,24,86.06203135010554,73.2866778516441,12.775353498461442,0.14844355051870123,0.18938627429563834,0.6385069273114161,0.09285099758015113,0.5431299139890818
wheat,2010/11,24,85.20529216454673,78.35673101212977,6.848561152416952,0.08037718055342324,0.1162590325802304,0.37529303049613816,0.11839986573588221,0.687062959773883
wheat,calm,96,352.11516367844126,307.858031907433,44.25713177100831,0.12568936625355,0.1652596423239188,0.9903421698978482,0.06562631447886809,0.5692365059432167
maize,all,144,399.62910925041615,385.28574433886604,14.343364911550104,0.03589169202026834,0.04648266986013031,0.5687469316734977,0.06086906418924376,0.8309883846741741
maize,2007/08,24,72.58985502097552,69.95869770595374,2.6311573150217678,0.036246901364680645,0.064406160415796,0.4968305638331229,0.031106799898987018,0.8296007468269553
maize,2010/11,24,45.6552035106642,43.73115023737028,1.9240532732939184,0.04214313211514862,0.06695260461558987,0.5687469316734977,0.16441924603130603,0.8072255847089916
maize,calm,96,281.38405071877645,271.59589639554207,9.788154323234417,0.03478574673380116,0.036884313532349,0.5370108719460958,0.05186215598046562,0.8353386811387693
rice,all,144,124.95548951222112,65.69509497326254,59.26039453895859,0.47425202982508985,0.42171391768549515,0.9998734029511439,0.3430186392911657,0.18107223646244763
rice,2007/08,24,22.762165250207612,11.953147472088848,10.809017778118765,0.47486773157576373,0.46840868010397935,0.9998669480247715,0.296231087861647,0.19143601399021906
rice,2010/11,24,18.83029290404439,11.191094133209297,7.639198770835093,0.40568666721027674,0.39140805239603876,0.9584142102944327,0.36682345561076746,0.21110407403263085
rice,calm,96,83.36303135796913,42.55085336796439,40.81217799000474,0.48957166414394404,0.41761669340323815,0.9998734029511439,0.34990114665960875,0.17295769338108224
