crop,T,mean_unmet_demand_MMT,mean_cheap_unsold_MMT,mean_unexploited_gain_MMT,mean_world_trade_MMT,unexploited_over_trade,steps_with_unexploited_gain,frac_steps_with_unexploited_gain
wheat,144,2.622649154814245,21.2640386602299,1.480150481755312,3.634600605507594,0.4072388255018738,83,0.5763888888888888
maize,144,0.56443797105637,109.46031007075118,0.56443797105637,2.7752021475723345,0.20338625478152061,123,0.8541666666666666
rice,144,3.9245202773751893,3.23316100187355,0.10835080149318016,0.86774645494598,0.12486458558903055,20,0.1388888888888889
