crop,variant,exporter,importer,share_pre_ban,share_during_ban,delta
wheat,U0_shipped,Russia,Egypt,0.4233716305555102,0.23633949443764452,-0.18703213611786568
wheat,U1_source_reweight_g1.25,Russia,Egypt,0.430719872899476,0.22036435994913084,-0.21035551295034516
wheat,U1_source_reweight_g0.5,Russia,Egypt,0.4266809149837963,0.23007143393776872,-0.19660948104602757
wheat,U1_source_reweight_g3.0,Russia,Egypt,0.43848850066778966,0.20185106699646174,-0.23663743367132792
wheat,U2_unmet_twosided,Russia,Egypt,0.4282429779017333,0.1975748429308795,-0.2306681349708538
wheat,U1+U2,Russia,Egypt,0.43599371116656527,0.1846150816618913,-0.25137862950467393
wheat,U3_tat_traded_k0.05,Russia,Egypt,0.43451197991568824,0.13357210365425815,-0.3009398762614301
wheat,U3_tat_imbalance_k0.05,Russia,Egypt,0.4266772472844035,0.21304344671897155,-0.21363380056543194
wheat,U3_tat_imbalance_k0.15,Russia,Egypt,0.43462955647506607,0.1793326974599742,-0.25529685901509186
wheat,U3_tat_imbalance_k0.40,Russia,Egypt,0.4384494531444583,0.1514347684967184,-0.28701468464773994
