crop,T,steps_with_interior_clearing_price,mean_supply_for_use_MMT,mean_desired_use_MMT,supply_over_desired_use,excess_supply_at_pmax_MMT,steps_excess_supply_at_pmax,price_move_to_absorb_1pct_harvest_pct,storage_demand_price_elasticity
wheat,144,16,59.73041546416303,25.239356494278546,2.366558572034243,39.011318239031226,89,6.734102937744137,0.0
maize,144,18,125.02435145834187,31.291857825224245,3.995427569582022,104.02431205947295,134,4.423010753229427,0.0
rice,144,4,-13.451698901631461,16.19751497915434,-0.8304791765245068,-27.555346337012562,37,5.0996337479939475,0.0
