crop,gamma,corr,h0708,h1011,mean_price,partner_reallocation_frac_mean,partner_reallocation_frac_max,full_run_trade_L1_over_volume
wheat,0.0,0.7198612368258548,2.2673764846341906,1.4472676909253313,342.06014023724714,1.1543341011075845e-18,1.778898983635797e-17,1.4662227772915434e-16
wheat,0.25,0.7198612368258548,2.2673764846341906,1.4472676909253313,342.06014023724714,2.293578738522873e-18,3.191643996610573e-17,1.525053580013239e-16
wheat,1.25,0.7198612368258547,2.2673764846341906,1.4472676909253321,342.0601402372471,0.0,0.0,0.0
wheat,3.0,0.7198612368258547,2.2673764846341906,1.4472676909253313,342.06014023724714,2.9547268522254916e-18,4.3046371379745424e-17,1.5200208172411913e-16
wheat,8.0,0.7198612368258547,2.2673764846341906,1.4472676909253315,342.06014023724714,3.911876581558576e-18,4.5945001111680925e-17,1.5119477153275699e-16
maize,0.0,0.7115343015231028,1.9716551959162116,1.698938753871961,207.842460889847,5.787545169901299e-19,3.832466381776606e-17,1.4225048845651916e-18
maize,0.25,0.7115343015231026,1.9716551959162116,1.698938753871961,207.842460889847,3.921458254890119e-18,8.272796011305788e-17,9.894375396002494e-18
maize,1.25,0.7115343015231028,1.9716551959162116,1.698938753871961,207.842460889847,0.0,0.0,0.0
maize,3.0,0.7115343015231028,1.9716551959162116,1.698938753871961,207.842460889847,1.310997625959155e-18,4.867392922738853e-17,8.753922366050443e-18
maize,8.0,0.7115343015231028,1.9716551959162116,1.698938753871961,207.842460889847,1.6352561325948877e-18,3.832466381776606e-17,1.4538851700296114e-18
rice,0.0,0.6777409747204022,1.7218949303223503,0.8204584882401206,640.8274338835955,7.837018917298135e-19,3.747410314018177e-17,3.0015119447835743e-18
rice,0.25,0.6777409747204023,1.7218949303223503,0.8204584882401206,640.8274338835955,1.7802108442442302e-18,3.747410314018177e-17,5.335275219044929e-17
rice,1.25,0.6777409747204022,1.7218949303223503,0.8204584882401206,640.8274338835955,0.0,0.0,0.0
rice,3.0,0.6777409747204022,1.7218949303223503,0.8204584882401206,640.8274338835955,3.9007395736436294e-18,5.772607549117893e-17,1.2415615451244408e-16
rice,8.0,0.6777409747204023,1.7218949303223503,0.8204584882401208,640.8274338835955,2.724054913728815e-18,7.130213493366085e-17,1.7436794277018142e-17
