crop,T,frac_dp_agrees_with_excess_demand,corr_dp_excess_demand,frac_z_positive,frac_dp_agrees_with_stock_gap,corr_logp_stockgap,frac_steps_price_above_p0,frac_steps_stock_below_twin,frac_steps_unmet_below_twin,frac_steps_u_anom_truncated
wheat,144,0.4722222222222222,0.3575765010075013,0.0,0.6041666666666666,0.14403614423322053,0.8611111111111112,0.4375,0.6388888888888888,0.6388888888888888
maize,144,0.5347222222222222,-0.015182439593838587,0.0,0.5069444444444444,-0.06950642193485934,0.8472222222222222,0.9583333333333334,0.4305555555555556,0.5069444444444444
rice,144,0.4027777777777778,0.4109624734875731,0.0,0.4652777777777778,0.32808417653030736,0.9513888888888888,0.2013888888888889,0.6944444444444444,0.8402777777777778
