crop,n,T,avail_recomputed_max_abs_err,massbalance_max_abs_MMT,massbalance_rel_to_world_avail,world_ship_minus_recv_max_abs,total_harvest_MMT,total_drawdown_MMT,drawdown_pct_of_harvest,drawdown_pct_of_consumption,total_trade_MMT,drawdown_over_trade,steps_with_drawdown
wheat,18,144,0.0,1.4210854715202004e-14,4.4671209222504687e-17,1.7763568394002505e-15,3904.4305263680226,236.72986573787645,6.06310866947573,6.6391366027382075,523.3824871930935,0.4523075791233702,121
maize,18,144,0.0,2.7533531010703882e-14,6.452769318946694e-17,1.7763568394002505e-15,4903.875174707626,322.3907409575686,6.574203654700282,7.168448706296942,399.62910925041615,0.8067248693726954,144
rice,18,144,0.0,1.1546319456101628e-14,9.91220363179694e-17,8.881784197001252e-16,2667.2369609712846,373.20428977303186,13.992168496237698,16.57334428864459,124.95548951222112,2.986697833203487,135
